PLANTS_LIGAND_DESCRIPTION,OLD_LIGAND_DESCRIPTION
Olaparib_entry_00001_conf_01,Olaparib
Olaparib_entry_00001_conf_02,Olaparib
Olaparib_entry_00001_conf_03,Olaparib
Olaparib_entry_00001_conf_04,Olaparib
Olaparib_entry_00001_conf_05,Olaparib
Olaparib_entry_00001_conf_06,Olaparib
Olaparib_entry_00001_conf_07,Olaparib
Olaparib_entry_00001_conf_08,Olaparib
Olaparib_entry_00001_conf_09,Olaparib
Olaparib_entry_00001_conf_10,Olaparib
Olaparib_entry_00001_conf_11,Olaparib
Olaparib_entry_00001_conf_12,Olaparib
Olaparib_entry_00001_conf_13,Olaparib
Olaparib_entry_00001_conf_14,Olaparib
Olaparib_entry_00001_conf_15,Olaparib
Olaparib_entry_00001_conf_16,Olaparib
Olaparib_entry_00001_conf_17,Olaparib
Olaparib_entry_00001_conf_18,Olaparib
Olaparib_entry_00001_conf_19,Olaparib
Olaparib_entry_00001_conf_20,Olaparib
Olaparib_entry_00001_conf_21,Olaparib
Olaparib_entry_00001_conf_22,Olaparib
Olaparib_entry_00001_conf_23,Olaparib
Olaparib_entry_00001_conf_24,Olaparib
Olaparib_entry_00001_conf_25,Olaparib
Olaparib_entry_00001_conf_26,Olaparib
Olaparib_entry_00001_conf_27,Olaparib
Olaparib_entry_00001_conf_28,Olaparib
Olaparib_entry_00001_conf_29,Olaparib
Olaparib_entry_00001_conf_30,Olaparib
Olaparib_entry_00001_conf_31,Olaparib
Olaparib_entry_00001_conf_32,Olaparib
Olaparib_entry_00001_conf_33,Olaparib
Olaparib_entry_00001_conf_34,Olaparib
Olaparib_entry_00001_conf_35,Olaparib
Olaparib_entry_00001_conf_36,Olaparib
Olaparib_entry_00001_conf_37,Olaparib
Olaparib_entry_00001_conf_38,Olaparib
Olaparib_entry_00001_conf_39,Olaparib
Olaparib_entry_00001_conf_40,Olaparib
Olaparib_entry_00001_conf_41,Olaparib
Olaparib_entry_00001_conf_42,Olaparib
Olaparib_entry_00001_conf_43,Olaparib
Olaparib_entry_00001_conf_44,Olaparib
Olaparib_entry_00001_conf_45,Olaparib
Olaparib_entry_00001_conf_46,Olaparib
Olaparib_entry_00001_conf_47,Olaparib
Olaparib_entry_00001_conf_48,Olaparib
Olaparib_entry_00001_conf_49,Olaparib
Olaparib_entry_00001_conf_50,Olaparib
Olaparib_entry_00001_conf_51,Olaparib
Olaparib_entry_00001_conf_52,Olaparib
Olaparib_entry_00001_conf_53,Olaparib
Olaparib_entry_00001_conf_54,Olaparib
Olaparib_entry_00001_conf_55,Olaparib
Olaparib_entry_00001_conf_56,Olaparib
Olaparib_entry_00001_conf_57,Olaparib
Olaparib_entry_00001_conf_58,Olaparib
Olaparib_entry_00001_conf_59,Olaparib
Olaparib_entry_00001_conf_60,Olaparib
Olaparib_entry_00001_conf_61,Olaparib
Olaparib_entry_00001_conf_62,Olaparib
Olaparib_entry_00001_conf_63,Olaparib
Olaparib_entry_00001_conf_64,Olaparib
Olaparib_entry_00001_conf_65,Olaparib
Olaparib_entry_00001_conf_66,Olaparib
Olaparib_entry_00001_conf_67,Olaparib
Olaparib_entry_00001_conf_68,Olaparib
Olaparib_entry_00001_conf_69,Olaparib
Olaparib_entry_00001_conf_70,Olaparib
Olaparib_entry_00001_conf_71,Olaparib
Olaparib_entry_00001_conf_72,Olaparib
Olaparib_entry_00001_conf_73,Olaparib
Olaparib_entry_00001_conf_74,Olaparib
Olaparib_entry_00001_conf_75,Olaparib
Olaparib_entry_00001_conf_76,Olaparib
Olaparib_entry_00001_conf_77,Olaparib
Olaparib_entry_00001_conf_78,Olaparib
Olaparib_entry_00001_conf_79,Olaparib
Olaparib_entry_00001_conf_80,Olaparib
Olaparib_entry_00001_conf_81,Olaparib
Olaparib_entry_00001_conf_82,Olaparib
Olaparib_entry_00001_conf_83,Olaparib
Olaparib_entry_00001_conf_84,Olaparib
Olaparib_entry_00001_conf_85,Olaparib
Olaparib_entry_00001_conf_86,Olaparib
Olaparib_entry_00001_conf_87,Olaparib
Olaparib_entry_00001_conf_88,Olaparib
Olaparib_entry_00001_conf_89,Olaparib
Olaparib_entry_00001_conf_90,Olaparib
Olaparib_entry_00001_conf_91,Olaparib
Olaparib_entry_00001_conf_92,Olaparib
Olaparib_entry_00001_conf_93,Olaparib
Olaparib_entry_00001_conf_94,Olaparib
Olaparib_entry_00001_conf_95,Olaparib
Olaparib_entry_00001_conf_96,Olaparib
Olaparib_entry_00001_conf_97,Olaparib
Olaparib_entry_00001_conf_98,Olaparib
Olaparib_entry_00001_conf_99,Olaparib
Olaparib_entry_00001_conf_100,Olaparib
