TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
Olaparib_entry_00001_conf_01,-82.2478,-74.2478,-2.57024,-25.9064,-0.189309,-10.8594,-23.3866,-2.49236,-71.4558,-4,-64.0513,0,0.597148,-0.0750087,5,27,0,0,-8.06409,0,1,4,0,3,0,7.66969,0
Olaparib_entry_00001_conf_02,-78.3657,-70.3657,-2.44893,-24.6837,-0.180373,-10.3468,-22.1638,-2.44893,-71.915,-3,-61.6074,0,1.86091,-0.1,3,29,0,0,-3.12045,0,1,4,1,3,0.21588,6.95823,0
Olaparib_entry_00001_conf_03,-70.9346,-62.9346,-2.21671,-22.343,-0.163269,-9.3657,-19.8232,-2.28821,-64.802,-1.87704,-60.5945,0,1.91735,-0.0278206,1,30,1,0,-3,0,1,4,1,3,0,7.41797,0
Olaparib_entry_00001_conf_04,-70.7467,-62.7467,-2.21083,-22.2838,-0.162837,-9.34089,-19.764,-2.21083,-66.3318,-1,-60.6279,0,1.42183,-0.1,6,26,0,0,-2.21315,0,1,4,1,3,0.439914,7.16334,0
Olaparib_entry_00001_conf_05,-68.846,-60.846,-2.15144,-21.6851,-0.158462,-9.08993,-19.1653,-2.15144,-63.938,-2,-57.566,0,2.29964,-0.1,6,26,0,0,-2.38478,0,1,4,1,3,0,7.70979,0
Olaparib_entry_00001_conf_06,-67.6224,-59.6224,-2.1132,-21.2997,-0.155646,-8.92838,-18.7799,-2.04916,-61.1979,-2.95796,-52.4969,0,3.64162,0,4,28,0,0,-3.88538,0,1,4,0,3,0.00851949,7.5506,0
Olaparib_entry_00001_conf_07,-66.8868,-58.8868,-2.09021,-21.068,-0.153953,-8.83126,-18.5482,-2.02687,-56.601,-1.76524,-46.5851,0,0.515859,-0.0348,2,30,0,0,-5.94138,0,1,4,0,3,0.178507,7.04398,0
Olaparib_entry_00001_conf_08,-66.3875,-58.3875,-2.07461,-20.9108,-0.152803,-8.76533,-18.3909,-2.07461,-59.8101,-0.34651,-56.6527,0,0.206512,-0.1,6,26,0,0,0,-3,1,4,1,3,0.132693,6.89701,0
Olaparib_entry_00001_conf_09,-65.8618,-57.8618,-2.05818,-20.7452,-0.151593,-8.69592,-18.2253,-2.35221,-60.8973,-1.86546,-57.1785,0,4.45767,-0.0366202,3,25,4,0,-2.35966,0,1,4,1,2,0,7.94066,0
Olaparib_entry_00001_conf_10,-65.5063,-57.5063,-2.04707,-20.6332,-0.150775,-8.64899,-18.1134,-2.04707,-60.575,-2.10764,-53.2637,0,1.23311,0,4,28,0,0,-0.979572,0,1,4,1,3,0.00236299,6.9435,0
Olaparib_entry_00001_conf_11,-65.2787,-57.2787,-2.03996,-20.5615,-0.150251,-8.61893,-18.0417,-2.03996,-59.6095,-1.89189,-60.152,0,1.42343,-0.0316232,4,28,0,0,-3,0,1,4,1,3,0,7.84218,0
Olaparib_entry_00001_conf_12,-64.932,-56.932,-2.02912,-20.4523,-0.149453,-8.57316,-17.9325,-2.02912,-64.4621,-0.813033,-59.7877,0,0.106374,0,7,25,0,0,-2.69495,0,1,4,1,3,13.1888,3.39326,0
Olaparib_entry_00001_conf_13,-64.6323,-56.6323,-2.01976,-20.3579,-0.148763,-8.53359,-17.8381,-2.01976,-61.4129,-1.47362,-51.169,0,1.91738,-0.1,3,29,0,0,-3,0,1,4,1,3,0,8.57166,0
Olaparib_entry_00001_conf_14,-64.0798,-56.0798,-2.0025,-20.1839,-0.147492,-8.46065,-17.664,-2.0025,-61.3277,-0.638133,-62.0287,0,0.698084,-0.0220265,4,28,0,0,0,0,1,4,1,4,0.000837114,7.39095,0
Olaparib_entry_00001_conf_15,-63.6838,-55.6838,-1.99012,-20.0591,-0.14658,-8.40835,-17.5393,-2.05431,-59.8371,0,-51.5976,0,0.261159,-0.0641878,0,31,1,0,0,0,1,4,1,4,0,7.23305,0
