LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
Olaparib_entry_00001_conf_01,-82.2478,-74.2478,-2.57024,-25.9064,-0.189309,-10.8594,-23.3866,-2.49236,10710362,65.2262
Olaparib_entry_00001_conf_02,-78.3657,-70.3657,-2.44893,-24.6837,-0.180373,-10.3468,-22.1638,-2.44893,10710362,65.2262
Olaparib_entry_00001_conf_03,-70.9346,-62.9346,-2.21671,-22.343,-0.163269,-9.3657,-19.8232,-2.28821,10710362,65.2262
Olaparib_entry_00001_conf_04,-70.7467,-62.7467,-2.21083,-22.2838,-0.162837,-9.34089,-19.764,-2.21083,10710362,65.2262
Olaparib_entry_00001_conf_05,-68.846,-60.846,-2.15144,-21.6851,-0.158462,-9.08993,-19.1653,-2.15144,10710362,65.2262
Olaparib_entry_00001_conf_06,-67.6224,-59.6224,-2.1132,-21.2997,-0.155646,-8.92838,-18.7799,-2.04916,10710362,65.2262
Olaparib_entry_00001_conf_07,-66.8868,-58.8868,-2.09021,-21.068,-0.153953,-8.83126,-18.5482,-2.02687,10710362,65.2262
Olaparib_entry_00001_conf_08,-66.3875,-58.3875,-2.07461,-20.9108,-0.152803,-8.76533,-18.3909,-2.07461,10710362,65.2262
Olaparib_entry_00001_conf_09,-65.8618,-57.8618,-2.05818,-20.7452,-0.151593,-8.69592,-18.2253,-2.35221,10710362,65.2262
Olaparib_entry_00001_conf_10,-65.5063,-57.5063,-2.04707,-20.6332,-0.150775,-8.64899,-18.1134,-2.04707,10710362,65.2262
Olaparib_entry_00001_conf_11,-65.2787,-57.2787,-2.03996,-20.5615,-0.150251,-8.61893,-18.0417,-2.03996,10710362,65.2262
Olaparib_entry_00001_conf_12,-64.932,-56.932,-2.02912,-20.4523,-0.149453,-8.57316,-17.9325,-2.02912,10710362,65.2262
Olaparib_entry_00001_conf_13,-64.6323,-56.6323,-2.01976,-20.3579,-0.148763,-8.53359,-17.8381,-2.01976,10710362,65.2262
Olaparib_entry_00001_conf_14,-64.0798,-56.0798,-2.0025,-20.1839,-0.147492,-8.46065,-17.664,-2.0025,10710362,65.2262
Olaparib_entry_00001_conf_15,-63.6838,-55.6838,-1.99012,-20.0591,-0.14658,-8.40835,-17.5393,-2.05431,10710362,65.2262
Olaparib_entry_00001_conf_16,-63.5694,-55.5694,-1.98654,-20.0231,-0.146317,-8.39325,-17.5033,-1.98654,10710362,65.2262
Olaparib_entry_00001_conf_17,-63.2305,-55.2305,-1.97595,-19.9164,-0.145537,-8.34851,-17.3965,-1.97595,10710362,65.2262
Olaparib_entry_00001_conf_18,-62.5097,-54.5097,-1.95343,-19.6893,-0.143878,-8.25334,-17.1695,-2.08366,10710362,65.2262
Olaparib_entry_00001_conf_19,-62.2269,-54.2269,-1.94459,-19.6003,-0.143227,-8.216,-17.0804,-1.94459,10710362,65.2262
Olaparib_entry_00001_conf_20,-62.1536,-54.1536,-1.9423,-19.5771,-0.143058,-8.20631,-17.0573,-1.9423,10710362,65.2262
Olaparib_entry_00001_conf_21,-62.023,-54.023,-1.93822,-19.536,-0.142758,-8.18908,-17.0162,-1.93822,10710362,65.2262
Olaparib_entry_00001_conf_22,-61.462,-53.462,-1.92069,-19.3593,-0.141466,-8.11501,-16.8395,-1.92069,10710362,65.2262
Olaparib_entry_00001_conf_23,-61.1904,-53.1904,-1.9122,-19.2738,-0.140841,-8.07915,-16.7539,-1.97388,10710362,65.2262
Olaparib_entry_00001_conf_24,-61.1848,-53.1848,-1.91202,-19.272,-0.140828,-8.0784,-16.7522,-1.91202,10710362,65.2262
Olaparib_entry_00001_conf_25,-60.9662,-52.9662,-1.90519,-19.2031,-0.140325,-8.04954,-16.6833,-1.90519,10710362,65.2262
