LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
aspirin_entry_00001_conf_01,-68.0495,-62.0495,-5.23458,-28.9408,-0.379855,-12.0714,-26.3891,-5.23458,7902887,55.5137
aspirin_entry_00001_conf_02,-65.2706,-59.2706,-5.02081,-27.7589,-0.364343,-11.5784,-25.2072,-5.02081,7902887,55.5137
aspirin_entry_00001_conf_03,-62.4553,-56.4553,-4.80425,-26.5616,-0.348628,-11.079,-24.0099,-4.80425,7902887,55.5137
aspirin_entry_00001_conf_04,-62.2899,-56.2899,-4.79153,-26.4913,-0.347704,-11.0496,-23.9395,-4.79153,7902887,55.5137
aspirin_entry_00001_conf_05,-60.4442,-54.4442,-4.64956,-25.7064,-0.337402,-10.7222,-23.1546,-4.64956,7902887,55.5137
aspirin_entry_00001_conf_06,-59.7891,-53.7891,-4.59916,-25.4277,-0.333745,-10.606,-22.876,-4.59916,7902887,55.5137
aspirin_entry_00001_conf_07,-57.5055,-51.5055,-4.4235,-24.4565,-0.320998,-10.2009,-21.9048,-4.4235,7902887,55.5137
aspirin_entry_00001_conf_08,-56.5066,-50.5066,-4.34667,-24.0317,-0.315422,-10.0238,-21.48,-4.34667,7902887,55.5137
aspirin_entry_00001_conf_09,-56.0462,-50.0462,-4.31124,-23.8359,-0.312852,-9.94207,-21.2842,-4.31124,7902887,55.5137
aspirin_entry_00001_conf_10,-55.9396,-49.9396,-4.30305,-23.7906,-0.312257,-9.92317,-21.2388,-4.30305,7902887,55.5137
aspirin_entry_00001_conf_11,-54.8208,-48.8208,-4.21699,-23.3148,-0.306012,-9.7247,-20.763,-4.21699,7902887,55.5137
aspirin_entry_00001_conf_12,-54.7344,-48.7344,-4.21034,-23.278,-0.30553,-9.70938,-20.7263,-4.21034,7902887,55.5137
aspirin_entry_00001_conf_13,-54.165,-48.165,-4.16654,-23.0358,-0.302351,-9.60836,-20.4841,-4.16654,7902887,55.5137
aspirin_entry_00001_conf_14,-54.1256,-48.1256,-4.16351,-23.0191,-0.302131,-9.60138,-20.4674,-4.16351,7902887,55.5137
aspirin_entry_00001_conf_15,-53.8774,-47.8774,-4.14441,-22.9135,-0.300746,-9.55735,-20.3618,-4.14441,7902887,55.5137
aspirin_entry_00001_conf_16,-52.4178,-46.4178,-4.03214,-22.2928,-0.292598,-9.29843,-19.741,-4.03214,7902887,55.5137
aspirin_entry_00001_conf_17,-52.1152,-46.1152,-4.00886,-22.1641,-0.290909,-9.24475,-19.6123,-4.00886,7902887,55.5137
aspirin_entry_00001_conf_18,-51.7735,-45.7735,-3.98258,-22.0188,-0.289002,-9.18414,-19.467,-3.98258,7902887,55.5137
aspirin_entry_00001_conf_19,-51.6253,-45.6253,-3.97117,-21.9557,-0.288174,-9.15784,-19.404,-3.97117,7902887,55.5137
aspirin_entry_00001_conf_20,-51.4132,-45.4132,-3.95486,-21.8656,-0.286991,-9.12023,-19.3138,-3.95486,7902887,55.5137
aspirin_entry_00001_conf_21,-51.2389,-45.2389,-3.94145,-21.7914,-0.286017,-9.0893,-19.2397,-3.94145,7902887,55.5137
aspirin_entry_00001_conf_22,-51.2262,-45.2262,-3.94047,-21.786,-0.285947,-9.08705,-19.2343,-3.94047,7902887,55.5137
aspirin_entry_00001_conf_23,-50.6097,-44.6097,-3.89305,-21.5238,-0.282505,-8.97769,-18.9721,-3.89305,7902887,55.5137
aspirin_entry_00001_conf_24,-50.5798,-44.5798,-3.89076,-21.5111,-0.282339,-8.9724,-18.9594,-3.89076,7902887,55.5137
aspirin_entry_00001_conf_25,-50.2705,-44.2705,-3.86696,-21.3796,-0.280612,-8.91752,-18.8278,-3.86696,7902887,55.5137
aspirin_entry_00001_conf_26,-49.5345,-43.5345,-3.81034,-21.0665,-0.276503,-8.78696,-18.5148,-3.81034,7902887,55.5137
aspirin_entry_00001_conf_27,-49.3853,-43.3853,-3.79887,-21.0031,-0.275671,-8.7605,-18.4514,-3.79887,7902887,55.5137
aspirin_entry_00001_conf_28,-49.0114,-43.0114,-3.77011,-20.8441,-0.273584,-8.69417,-18.2923,-3.77011,7902887,55.5137
aspirin_entry_00001_conf_29,-48.8986,-42.8986,-3.76143,-20.7961,-0.272954,-8.67416,-18.2444,-3.76143,7902887,55.5137
aspirin_entry_00001_conf_30,-48.8723,-42.8723,-3.75941,-20.7849,-0.272807,-8.66949,-18.2332,-3.75941,7902887,55.5137
aspirin_entry_00001_conf_31,-48.7544,-42.7544,-3.75034,-20.7348,-0.272149,-8.64858,-18.183,-3.75034,7902887,55.5137
