LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
aspirin_entry_00001_conf_01,-63.8354,-57.8354,-4.91042,-27.1486,-0.356332,-11.3238,-24.5969,-4.91042,2031585,4.79431
aspirin_entry_00001_conf_02,-62.5122,-56.5122,-4.80863,-26.5858,-0.348946,-11.0891,-24.0341,-4.80863,2031585,4.79431
aspirin_entry_00001_conf_03,-58.3249,-52.3249,-4.48653,-24.805,-0.325572,-10.3463,-22.2533,-4.48653,2031585,4.79431
aspirin_entry_00001_conf_04,-58.3209,-52.3209,-4.48622,-24.8033,-0.32555,-10.3456,-22.2516,-4.48622,2031585,4.79431
aspirin_entry_00001_conf_05,-56.1846,-50.1846,-4.32189,-23.8948,-0.313625,-9.96663,-21.343,-4.32189,2031585,4.79431
aspirin_entry_00001_conf_06,-56.007,-50.007,-4.30823,-23.8192,-0.312633,-9.93512,-21.2675,-4.30823,2031585,4.79431
aspirin_entry_00001_conf_07,-55.8225,-49.8225,-4.29404,-23.7408,-0.311604,-9.9024,-21.189,-4.29404,2031585,4.79431
aspirin_entry_00001_conf_08,-55.0414,-49.0414,-4.23396,-23.4086,-0.307243,-9.76384,-20.8568,-4.23396,2031585,4.79431
aspirin_entry_00001_conf_09,-54.5986,-48.5986,-4.19989,-23.2202,-0.304771,-9.68528,-20.6685,-4.19989,2031585,4.79431
aspirin_entry_00001_conf_10,-54.3766,-48.3766,-4.18282,-23.1259,-0.303533,-9.64591,-20.5741,-4.18282,2031585,4.79431
aspirin_entry_00001_conf_11,-54.1038,-48.1038,-4.16183,-23.0098,-0.30201,-9.59752,-20.4581,-4.16183,2031585,4.79431
aspirin_entry_00001_conf_12,-53.9951,-47.9951,-4.15347,-22.9636,-0.301403,-9.57823,-20.4119,-4.15347,2031585,4.79431
aspirin_entry_00001_conf_13,-53.6289,-47.6289,-4.1253,-22.8078,-0.299358,-9.51326,-20.2561,-4.1253,2031585,4.79431
aspirin_entry_00001_conf_14,-52.9077,-46.9077,-4.06982,-22.5011,-0.295333,-9.38533,-19.9494,-4.06982,2031585,4.79431
aspirin_entry_00001_conf_15,-52.8091,-46.8091,-4.06223,-22.4592,-0.294782,-9.36784,-19.9074,-4.06223,2031585,4.79431
aspirin_entry_00001_conf_16,-52.5122,-46.5122,-4.0394,-22.3329,-0.293125,-9.31517,-19.7812,-4.0394,2031585,4.79431
aspirin_entry_00001_conf_17,-52.4641,-46.4641,-4.0357,-22.3125,-0.292856,-9.30664,-19.7607,-4.0357,2031585,4.79431
aspirin_entry_00001_conf_18,-52.4379,-46.4379,-4.03368,-22.3013,-0.29271,-9.30199,-19.7496,-4.03368,2031585,4.79431
aspirin_entry_00001_conf_19,-51.9454,-45.9454,-3.9958,-22.0919,-0.289961,-9.21464,-19.5401,-3.9958,2031585,4.79431
aspirin_entry_00001_conf_20,-51.9325,-45.9325,-3.99481,-22.0864,-0.289889,-9.21234,-19.5346,-3.99481,2031585,4.79431
aspirin_entry_00001_conf_21,-51.6765,-45.6765,-3.97511,-21.9775,-0.28846,-9.16693,-19.4258,-3.97511,2031585,4.79431
aspirin_entry_00001_conf_22,-51.298,-45.298,-3.946,-21.8165,-0.286347,-9.09979,-19.2648,-3.946,2031585,4.79431
aspirin_entry_00001_conf_23,-50.8453,-44.8453,-3.91118,-21.624,-0.283821,-9.01949,-19.0723,-3.91118,2031585,4.79431
aspirin_entry_00001_conf_24,-50.6375,-44.6375,-3.89519,-21.5356,-0.282661,-8.98262,-18.9839,-3.89519,2031585,4.79431
aspirin_entry_00001_conf_25,-50.2737,-44.2737,-3.86721,-21.3809,-0.28063,-8.91809,-18.8292,-3.86721,2031585,4.79431
aspirin_entry_00001_conf_26,-49.745,-43.745,-3.82654,-21.1561,-0.277679,-8.82431,-18.6043,-3.82654,2031585,4.79431
aspirin_entry_00001_conf_27,-49.7145,-43.7145,-3.82419,-21.1431,-0.277508,-8.81888,-18.5913,-3.82419,2031585,4.79431
aspirin_entry_00001_conf_28,-49.4066,-43.4066,-3.80051,-21.0121,-0.275789,-8.76427,-18.4604,-3.80051,2031585,4.79431
aspirin_entry_00001_conf_29,-49.2977,-43.2977,-3.79213,-20.9658,-0.275182,-8.74495,-18.4141,-3.79213,2031585,4.79431
aspirin_entry_00001_conf_30,-48.9008,-42.9008,-3.7616,-20.7971,-0.272966,-8.67456,-18.2453,-3.7616,2031585,4.79431
aspirin_entry_00001_conf_31,-48.7793,-42.7793,-3.75225,-20.7454,-0.272288,-8.65299,-18.1936,-3.75225,2031585,4.79431
aspirin_entry_00001_conf_32,-48.699,-42.699,-3.74608,-20.7112,-0.27184,-8.63875,-18.1595,-3.74608,2031585,4.79431
aspirin_entry_00001_conf_33,-48.6552,-42.6552,-3.74271,-20.6926,-0.271595,-8.63099,-18.1409,-3.74271,2031585,4.79431
aspirin_entry_00001_conf_34,-48.6431,-42.6431,-3.74178,-20.6875,-0.271528,-8.62884,-18.1357,-4.0536,2031585,4.79431
aspirin_entry_00001_conf_35,-48.0598,-42.0598,-3.69691,-20.4394,-0.268272,-8.52536,-17.8876,-3.69691,2031585,4.79431
aspirin_entry_00001_conf_36,-48.0537,-42.0537,-3.69644,-20.4368,-0.268237,-8.52427,-17.885,-3.69644,2031585,4.79431
aspirin_entry_00001_conf_37,-48.004,-42.004,-3.69261,-20.4156,-0.26796,-8.51546,-17.8639,-3.69261,2031585,4.79431
aspirin_entry_00001_conf_38,-47.7702,-41.7702,-3.67463,-20.3162,-0.266655,-8.47399,-17.7645,-3.67463,2031585,4.79431
aspirin_entry_00001_conf_39,-47.3785,-41.3785,-3.6445,-20.1496,-0.264469,-8.40451,-17.5979,-3.6445,2031585,4.79431
aspirin_entry_00001_conf_40,-47.314,-41.314,-3.63954,-20.1222,-0.264109,-8.39307,-17.5704,-3.63954,2031585,4.79431
aspirin_entry_00001_conf_41,-47.2665,-41.2665,-3.63588,-20.102,-0.263843,-8.38463,-17.5502,-3.63588,2031585,4.79431
aspirin_entry_00001_conf_42,-46.8512,-40.8512,-3.60394,-19.9254,-0.261525,-8.31096,-17.3736,-3.60394,2031585,4.79431
aspirin_entry_00001_conf_43,-46.7423,-40.7423,-3.59556,-19.879,-0.260917,-8.29165,-17.3273,-3.59556,2031585,4.79431
aspirin_entry_00001_conf_44,-46.5406,-40.5406,-3.58005,-19.7933,-0.259791,-8.25587,-17.2415,-3.58005,2031585,4.79431
aspirin_entry_00001_conf_45,-46.4596,-40.4596,-3.57382,-19.7588,-0.25934,-8.24151,-17.2071,-3.57382,2031585,4.79431
aspirin_entry_00001_conf_46,-46.4536,-40.4536,-3.57335,-19.7563,-0.259306,-8.24044,-17.2045,-3.57335,2031585,4.79431
aspirin_entry_00001_conf_47,-46.3595,-40.3595,-3.56612,-19.7163,-0.258781,-8.22375,-17.1645,-3.56612,2031585,4.79431
aspirin_entry_00001_conf_48,-46.2583,-40.2583,-3.55833,-19.6732,-0.258216,-8.20579,-17.1215,-3.55833,2031585,4.79431
aspirin_entry_00001_conf_49,-46.2273,-40.2273,-3.55595,-19.66,-0.258043,-8.20029,-17.1083,-3.55595,2031585,4.79431
aspirin_entry_00001_conf_50,-46.1961,-40.1961,-3.55355,-19.6468,-0.257869,-8.19476,-17.095,-3.55355,2031585,4.79431
aspirin_entry_00001_conf_51,-45.9931,-39.9931,-3.53793,-19.5604,-0.256735,-8.15875,-17.0087,-3.53793,2031585,4.79431
aspirin_entry_00001_conf_52,-45.7657,-39.7657,-3.52044,-19.4637,-0.255466,-8.1184,-16.912,-3.52044,2031585,4.79431
aspirin_entry_00001_conf_53,-45.3673,-39.3673,-3.48979,-19.2943,-0.253242,-8.04774,-16.7425,-3.48979,2031585,4.79431
aspirin_entry_00001_conf_54,-44.9521,-38.9521,-3.45785,-19.1177,-0.250924,-7.97409,-16.566,-3.45785,2031585,4.79431
aspirin_entry_00001_conf_55,-44.8682,-38.8682,-3.4514,-19.082,-0.250456,-7.95921,-16.5303,-3.4514,2031585,4.79431
aspirin_entry_00001_conf_56,-44.8444,-38.8444,-3.44957,-19.0719,-0.250323,-7.95499,-16.5202,-3.44957,2031585,4.79431
aspirin_entry_00001_conf_57,-44.7667,-38.7667,-3.44359,-19.0388,-0.249889,-7.9412,-16.4871,-3.44359,2031585,4.79431
aspirin_entry_00001_conf_58,-44.4611,-38.4611,-3.42008,-18.9089,-0.248184,-7.88698,-16.3571,-3.42008,2031585,4.79431
aspirin_entry_00001_conf_59,-44.4442,-38.4442,-3.41878,-18.9017,-0.248089,-7.88398,-16.3499,-3.41878,2031585,4.79431
aspirin_entry_00001_conf_60,-44.1099,-38.1099,-3.39307,-18.7595,-0.246223,-7.82468,-16.2078,-3.67582,2031585,4.79431
aspirin_entry_00001_conf_61,-44.0256,-38.0256,-3.38659,-18.7237,-0.245753,-7.80974,-16.1719,-3.38659,2031585,4.79431
aspirin_entry_00001_conf_62,-43.8949,-37.8949,-3.37653,-18.6681,-0.245023,-7.78654,-16.1163,-3.37653,2031585,4.79431
aspirin_entry_00001_conf_63,-43.8135,-37.8135,-3.37027,-18.6334,-0.244568,-7.7721,-16.0817,-3.37027,2031585,4.79431
aspirin_entry_00001_conf_64,-43.7298,-37.7298,-3.36383,-18.5979,-0.244102,-7.75727,-16.0461,-3.36383,2031585,4.79431
aspirin_entry_00001_conf_65,-43.3678,-37.3678,-3.33598,-18.4439,-0.242081,-7.69305,-15.8922,-3.33598,2031585,4.79431
aspirin_entry_00001_conf_66,-43.1807,-37.1807,-3.32159,-18.3643,-0.241036,-7.65985,-15.8126,-3.32159,2031585,4.79431
aspirin_entry_00001_conf_67,-43.1363,-37.1363,-3.31817,-18.3454,-0.240788,-7.65197,-15.7937,-3.31817,2031585,4.79431
aspirin_entry_00001_conf_68,-43.0608,-37.0608,-3.31237,-18.3133,-0.240367,-7.63858,-15.7616,-3.31237,2031585,4.79431
aspirin_entry_00001_conf_69,-42.6181,-36.6181,-3.27831,-18.1251,-0.237896,-7.56005,-15.5733,-3.27831,2031585,4.79431
aspirin_entry_00001_conf_70,-41.8216,-35.8216,-3.21704,-17.7863,-0.23345,-7.41876,-15.2346,-3.21704,2031585,4.79431
aspirin_entry_00001_conf_71,-41.7737,-35.7737,-3.21336,-17.7659,-0.233182,-7.41026,-15.2142,-3.21336,2031585,4.79431
aspirin_entry_00001_conf_72,-41.6871,-35.6871,-3.2067,-17.7291,-0.232699,-7.3949,-15.1774,-3.2067,2031585,4.79431
aspirin_entry_00001_conf_73,-41.6811,-35.6811,-3.20624,-17.7266,-0.232665,-7.39383,-15.1748,-3.20624,2031585,4.79431
aspirin_entry_00001_conf_74,-41.5647,-35.5647,-3.19728,-17.677,-0.232016,-7.37318,-15.1253,-3.19728,2031585,4.79431
aspirin_entry_00001_conf_75,-41.5349,-35.5349,-3.19499,-17.6644,-0.231849,-7.36791,-15.1126,-3.19499,2031585,4.79431
aspirin_entry_00001_conf_76,-41.4593,-35.4593,-3.18917,-17.6322,-0.231427,-7.35449,-15.0805,-3.18917,2031585,4.79431
aspirin_entry_00001_conf_77,-41.3503,-35.3503,-3.1808,-17.5859,-0.230819,-7.33517,-15.0342,-3.1808,2031585,4.79431
aspirin_entry_00001_conf_78,-41.1286,-35.1286,-3.16374,-17.4916,-0.229581,-7.29583,-14.9399,-3.16374,2031585,4.79431
aspirin_entry_00001_conf_79,-41.0047,-35.0047,-3.15421,-17.4389,-0.22889,-7.27386,-14.8872,-3.15421,2031585,4.79431
aspirin_entry_00001_conf_80,-40.9515,-34.9515,-3.15011,-17.4163,-0.228593,-7.26441,-14.8645,-3.15011,2031585,4.79431
aspirin_entry_00001_conf_81,-40.8614,-34.8614,-3.14318,-17.3779,-0.22809,-7.24843,-14.8262,-3.14318,2031585,4.79431
aspirin_entry_00001_conf_82,-40.8511,-34.8511,-3.14239,-17.3736,-0.228033,-7.24661,-14.8218,-3.14239,2031585,4.79431
aspirin_entry_00001_conf_83,-40.7801,-34.7801,-3.13693,-17.3434,-0.227636,-7.23401,-14.7916,-3.13693,2031585,4.79431
aspirin_entry_00001_conf_84,-40.7112,-34.7112,-3.13163,-17.3141,-0.227252,-7.22179,-14.7623,-3.13163,2031585,4.79431
aspirin_entry_00001_conf_85,-40.6988,-34.6988,-3.13067,-17.3088,-0.227182,-7.21958,-14.757,-3.13067,2031585,4.79431
aspirin_entry_00001_conf_86,-40.6753,-34.6753,-3.12887,-17.2988,-0.227051,-7.21542,-14.7471,-3.12887,2031585,4.79431
aspirin_entry_00001_conf_87,-40.6519,-34.6519,-3.12707,-17.2889,-0.226921,-7.21128,-14.7371,-3.12707,2031585,4.79431
aspirin_entry_00001_conf_88,-40.6164,-34.6164,-3.12433,-17.2737,-0.226722,-7.20496,-14.722,-3.12433,2031585,4.79431
aspirin_entry_00001_conf_89,-40.5352,-34.5352,-3.11809,-17.2392,-0.226269,-7.19057,-14.6875,-3.11809,2031585,4.79431
aspirin_entry_00001_conf_90,-40.5243,-34.5243,-3.11725,-17.2346,-0.226208,-7.18863,-14.6828,-3.11725,2031585,4.79431
aspirin_entry_00001_conf_91,-40.4361,-34.4361,-3.11047,-17.1971,-0.225716,-7.17299,-14.6453,-3.11047,2031585,4.79431
aspirin_entry_00001_conf_92,-40.3153,-34.3153,-3.10117,-17.1457,-0.225041,-7.15156,-14.594,-3.10117,2031585,4.79431
aspirin_entry_00001_conf_93,-40.2884,-34.2884,-3.09911,-17.1343,-0.224892,-7.14679,-14.5825,-3.09911,2031585,4.79431
aspirin_entry_00001_conf_94,-40.2559,-34.2559,-3.09661,-17.1204,-0.22471,-7.14102,-14.5687,-3.09661,2031585,4.79431
aspirin_entry_00001_conf_95,-40.0919,-34.0919,-3.08399,-17.0507,-0.223795,-7.11194,-14.499,-4.45466,2031585,4.79431
aspirin_entry_00001_conf_96,-39.9858,-33.9858,-3.07583,-17.0056,-0.223202,-7.09311,-14.4538,-3.07583,2031585,4.79431
aspirin_entry_00001_conf_97,-39.7974,-33.7974,-3.06134,-16.9255,-0.222151,-7.0597,-14.3737,-3.06134,2031585,4.79431
aspirin_entry_00001_conf_98,-39.724,-33.724,-3.05569,-16.8942,-0.221741,-7.04666,-14.3425,-3.05569,2031585,4.79431
aspirin_entry_00001_conf_99,-39.6899,-33.6899,-3.05307,-16.8797,-0.22155,-7.04061,-14.328,-3.30749,2031585,4.79431
aspirin_entry_00001_conf_100,-39.678,-33.678,-3.05215,-16.8747,-0.221484,-7.03851,-14.3229,-3.05215,2031585,4.79431
