TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
Olaparib_entry_00001_conf_01,-97.116,-89.116,-3.03487,-30.5896,-0.223531,-12.8225,-28.0698,-2.94291,-82.5779,-3.85612,-72.5647,0,4.96356,-0.0702338,5,27,0,0,-10.3375,0,1,4,0,2,1.05964e-05,7.06379,0
Olaparib_entry_00001_conf_02,-96.5859,-88.5859,-3.01831,-30.4226,-0.22231,-12.7525,-27.9028,-3.01831,-89.4155,-1,-77.6973,0,2.11119,0,2,30,0,0,-3,0,1,4,1,3,0.0358211,6.58803,0
Olaparib_entry_00001_conf_03,-93.192,-85.192,-2.91225,-29.3536,-0.214499,-12.3044,-26.8338,-2.91225,-86.7158,-2.80161,-80.491,0,0.505947,0,6,26,0,0,-3,0,1,4,1,3,2.11142,6.43274,0
Olaparib_entry_00001_conf_04,-89.2398,-81.2398,-2.78874,-28.1088,-0.205402,-11.7826,-25.5889,-2.78874,-83.1683,-1.77184,-75.3238,0,2.28909,0,4,28,0,0,-2.99625,0,1,4,1,3,0.154893,6.61341,0
Olaparib_entry_00001_conf_05,-87.8777,-79.8777,-2.74618,-27.6797,-0.202267,-11.6027,-25.1599,-2.74618,-80.6762,-1,-71.1513,0,2.68361,0,2,30,0,0,-3,0,1,4,1,3,0.868458,6.44429,0
Olaparib_entry_00001_conf_06,-86.8567,-78.8567,-2.71427,-27.3581,-0.199917,-11.4679,-24.8383,-2.63202,-79.7237,-1.93549,-65.6888,0,1.171,0,1,31,0,0,-3,0,1,4,0,4,0.00289281,7.10058,0
Olaparib_entry_00001_conf_07,-84.146,-76.146,-2.62956,-26.5043,-0.193678,-11.11,-23.9845,-2.54988,-70.4784,-3.83834,-66.7233,0,3.64156,-0.0101645,5,27,0,0,-9.93557,0,1,4,0,2,2.32109,6.12586,0
Olaparib_entry_00001_conf_08,-82.5382,-74.5382,-2.57932,-25.9979,-0.189977,-10.8978,-23.4781,-2.57932,-76.2019,-0.391181,-71.1147,0,1.44688,0,5,27,0,0,-2.88613,0,1,4,1,3,1.56782,6.60951,0
Olaparib_entry_00001_conf_09,-81.6005,-73.6005,-2.55002,-25.7026,-0.187819,-10.774,-23.1827,-2.55002,-72.6544,-2.17345,-64.9694,0,0.425073,0,6,26,0,0,-4.65433,-3,1,4,1,2,6.26286,5.17788,0
Olaparib_entry_00001_conf_10,-81.4026,-73.4026,-2.54383,-25.6402,-0.187363,-10.7478,-23.1204,-2.54383,-78.1413,-0.815613,-67.6948,0,1.75367,0,2,30,0,0,0,0,1,4,0,4,0,7.07727,0
