LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
Olaparib_entry_00001_conf_01,-97.116,-89.116,-3.03487,-30.5896,-0.223531,-12.8225,-28.0698,-2.94291,4940459,16.765
Olaparib_entry_00001_conf_02,-96.5859,-88.5859,-3.01831,-30.4226,-0.22231,-12.7525,-27.9028,-3.01831,4940459,16.765
Olaparib_entry_00001_conf_03,-93.192,-85.192,-2.91225,-29.3536,-0.214499,-12.3044,-26.8338,-2.91225,4940459,16.765
Olaparib_entry_00001_conf_04,-89.2398,-81.2398,-2.78874,-28.1088,-0.205402,-11.7826,-25.5889,-2.78874,4940459,16.765
Olaparib_entry_00001_conf_05,-87.8777,-79.8777,-2.74618,-27.6797,-0.202267,-11.6027,-25.1599,-2.74618,4940459,16.765
Olaparib_entry_00001_conf_06,-86.8567,-78.8567,-2.71427,-27.3581,-0.199917,-11.4679,-24.8383,-2.63202,4940459,16.765
Olaparib_entry_00001_conf_07,-84.146,-76.146,-2.62956,-26.5043,-0.193678,-11.11,-23.9845,-2.54988,4940459,16.765
Olaparib_entry_00001_conf_08,-82.5382,-74.5382,-2.57932,-25.9979,-0.189977,-10.8978,-23.4781,-2.57932,4940459,16.765
Olaparib_entry_00001_conf_09,-81.6005,-73.6005,-2.55002,-25.7026,-0.187819,-10.774,-23.1827,-2.55002,4940459,16.765
Olaparib_entry_00001_conf_10,-81.4026,-73.4026,-2.54383,-25.6402,-0.187363,-10.7478,-23.1204,-2.54383,4940459,16.765
