TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
aspirin_entry_00001_conf_01,-62.7194,-56.7194,-4.82457,-26.674,-0.350102,-11.1258,-24.1222,-4.82457,-42.8534,-1,-35.8659,0,0.174866,-0.0301972,1,12,0,0,-3,0,0,3,0,2,0,1.16335,0
aspirin_entry_00001_conf_02,-62.1796,-56.1796,-4.78305,-26.4444,-0.347089,-11.0301,-23.8927,-4.78305,-42.7701,-2,-36.0726,0,0.508368,0,0,13,0,0,-5.99897,0,0,3,0,1,0,2.77916,2
aspirin_entry_00001_conf_03,-58.3084,-52.3084,-4.48527,-24.798,-0.32548,-10.3434,-22.2463,-4.48527,-39.5632,-0.579912,-36.2529,0,0.110996,-0.0154518,2,11,0,0,-1.69455,0,0,3,0,2,0.0521662,1.00013,2
aspirin_entry_00001_conf_04,-57.5454,-51.5454,-4.42657,-24.4735,-0.321221,-10.208,-21.9218,-4.42657,-38.7147,-1,-32.5631,0,0.219852,-0.0769953,0,13,0,0,-3,0,0,3,0,2,0,1.68193,2
aspirin_entry_00001_conf_05,-56.8048,-50.8048,-4.3696,-24.1585,-0.317087,-10.0767,-21.6068,-4.3696,-34.8228,-1,-30.478,0,0.494863,-0.0435483,1,12,0,0,-3,-2.99981,0,3,0,1,0,1.46908,2
aspirin_entry_00001_conf_06,-56.7088,-50.7088,-4.36221,-24.1177,-0.316551,-10.0596,-21.5659,-4.36221,-40.0971,0,-37.3581,0,0.941013,-0.0541573,1,12,0,0,0,0,0,3,0,3,0.00281525,1.10527,2
aspirin_entry_00001_conf_07,-55.4095,-49.4095,-4.26227,-23.5651,-0.309298,-9.82914,-21.0134,-4.26227,-38.6464,0,-32.1953,0,0.29258,0,0,13,0,0,0,0,0,3,0,3,0,1.34047,2
aspirin_entry_00001_conf_08,-55.4037,-49.4037,-4.26182,-23.5627,-0.309266,-9.8281,-21.0109,-4.26182,-39.0175,0,-36.6148,0,0,-0.1,3,10,0,0,0,0,0,3,0,3,0.0512428,1.40796,0
aspirin_entry_00001_conf_09,-53.741,-47.741,-4.13392,-22.8555,-0.299984,-9.53315,-20.3038,-4.13392,-38.2078,0,-35.7394,0,0.90783,-0.00901942,3,10,0,0,0,0,0,3,0,3,0.0388489,1.24181,0
aspirin_entry_00001_conf_10,-53.6653,-47.6653,-4.1281,-22.8233,-0.299562,-9.51973,-20.2716,-4.1281,-36.0918,0,-33.6959,0,0.0614048,-0.0344859,3,10,0,0,0,0,0,3,0,3,0.0037384,1.10734,0
