TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
ibuprofen_entry_00001_conf_01,-67.4798,-59.4798,-4.49866,-27.3617,-0.328743,-11.4394,-24.1179,-4.49866,-45.3978,-2,-40.105,0,0.0780976,-0.0935578,1,14,0,0,-7.31393,0,0,2,0,1,0.499814,1.81572,0
ibuprofen_entry_00001_conf_02,-66.1992,-58.1992,-4.41328,-26.8425,-0.322505,-11.2223,-23.5986,-4.41328,-44.89,-2.7878,-38.1965,0,0,-0.0288866,0,15,0,0,-5.94596,0,0,2,0,1,0.000122953,1.85021,0
ibuprofen_entry_00001_conf_03,-63.5642,-55.5642,-4.23761,-25.774,-0.309667,-10.7756,-22.5302,-4.23761,-39.6983,-2,-35.2837,0,0.166029,0,0,15,0,0,-8.52132,0,0,2,0,1,0,1.86508,0
ibuprofen_entry_00001_conf_04,-63.1455,-55.1455,-4.2097,-25.6043,-0.307628,-10.7046,-22.3604,-4.2097,-42.0932,-3.68689,-34.4656,0,0,-0.1,0,15,0,0,-6,0,0,2,0,1,0.00112234,1.8297,1
ibuprofen_entry_00001_conf_05,-61.6761,-53.6761,-4.11174,-25.0084,-0.300469,-10.4555,-21.7646,-4.11174,-42.7197,-2,-38.3142,0,0.797241,0,1,14,0,0,-3.17015,0,0,2,0,0,0,1.84129,0
ibuprofen_entry_00001_conf_06,-61.5927,-53.5927,-4.10618,-24.9746,-0.300063,-10.4414,-21.7308,-4.10618,-40.0026,-2,-32.8996,0,0.139517,0,1,14,0,0,-6,0,0,2,0,0,0,1.83268,0
ibuprofen_entry_00001_conf_07,-59.7936,-51.7936,-3.98624,-24.2451,-0.291298,-10.1364,-21.0013,-3.98624,-45.8232,-1.76498,-39.4291,0,0.0913438,-0.1,1,14,0,0,0,0,0,2,0,2,1.0799,1.82844,0
ibuprofen_entry_00001_conf_08,-57.9801,-49.9801,-3.86534,-23.5098,-0.282463,-9.82895,-20.266,-3.86534,-33.9126,-3,-26.8943,0,0.834975,-0.1,0,15,0,0,-8.82033,0,0,2,0,1,0.283054,1.8155,0
ibuprofen_entry_00001_conf_09,-57.0956,-49.0956,-3.80637,-23.1511,-0.278154,-9.67899,-19.9073,-3.80637,-36.0575,-2,-32.3886,0,0,-0.0613817,2,13,0,0,-6,0,0,2,0,1,0,1.81867,0
ibuprofen_entry_00001_conf_10,-56.7566,-48.7566,-3.78378,-23.0137,-0.276503,-9.62153,-19.7698,-3.78378,-36.3395,-2,-32.0038,0,0.122669,0,1,14,0,0,-4.91885,0,0,2,0,0,0,1.85975,0
