PLANTS_LIGAND_DESCRIPTION,OLD_LIGAND_DESCRIPTION
aspirin_entry_00001_conf_01,aspirin
aspirin_entry_00001_conf_02,aspirin
aspirin_entry_00001_conf_03,aspirin
aspirin_entry_00001_conf_04,aspirin
aspirin_entry_00001_conf_05,aspirin
aspirin_entry_00001_conf_06,aspirin
aspirin_entry_00001_conf_07,aspirin
aspirin_entry_00001_conf_08,aspirin
aspirin_entry_00001_conf_09,aspirin
aspirin_entry_00001_conf_10,aspirin
aspirin_entry_00001_conf_11,aspirin
aspirin_entry_00001_conf_12,aspirin
aspirin_entry_00001_conf_13,aspirin
aspirin_entry_00001_conf_14,aspirin
aspirin_entry_00001_conf_15,aspirin
aspirin_entry_00001_conf_16,aspirin
aspirin_entry_00001_conf_17,aspirin
aspirin_entry_00001_conf_18,aspirin
aspirin_entry_00001_conf_19,aspirin
aspirin_entry_00001_conf_20,aspirin
aspirin_entry_00001_conf_21,aspirin
aspirin_entry_00001_conf_22,aspirin
aspirin_entry_00001_conf_23,aspirin
aspirin_entry_00001_conf_24,aspirin
aspirin_entry_00001_conf_25,aspirin
aspirin_entry_00001_conf_26,aspirin
aspirin_entry_00001_conf_27,aspirin
aspirin_entry_00001_conf_28,aspirin
aspirin_entry_00001_conf_29,aspirin
aspirin_entry_00001_conf_30,aspirin
aspirin_entry_00001_conf_31,aspirin
aspirin_entry_00001_conf_32,aspirin
aspirin_entry_00001_conf_33,aspirin
aspirin_entry_00001_conf_34,aspirin
aspirin_entry_00001_conf_35,aspirin
aspirin_entry_00001_conf_36,aspirin
aspirin_entry_00001_conf_37,aspirin
aspirin_entry_00001_conf_38,aspirin
aspirin_entry_00001_conf_39,aspirin
aspirin_entry_00001_conf_40,aspirin
aspirin_entry_00001_conf_41,aspirin
aspirin_entry_00001_conf_42,aspirin
aspirin_entry_00001_conf_43,aspirin
aspirin_entry_00001_conf_44,aspirin
aspirin_entry_00001_conf_45,aspirin
aspirin_entry_00001_conf_46,aspirin
aspirin_entry_00001_conf_47,aspirin
aspirin_entry_00001_conf_48,aspirin
aspirin_entry_00001_conf_49,aspirin
aspirin_entry_00001_conf_50,aspirin
aspirin_entry_00001_conf_51,aspirin
aspirin_entry_00001_conf_52,aspirin
aspirin_entry_00001_conf_53,aspirin
aspirin_entry_00001_conf_54,aspirin
aspirin_entry_00001_conf_55,aspirin
aspirin_entry_00001_conf_56,aspirin
aspirin_entry_00001_conf_57,aspirin
aspirin_entry_00001_conf_58,aspirin
aspirin_entry_00001_conf_59,aspirin
aspirin_entry_00001_conf_60,aspirin
aspirin_entry_00001_conf_61,aspirin
aspirin_entry_00001_conf_62,aspirin
aspirin_entry_00001_conf_63,aspirin
aspirin_entry_00001_conf_64,aspirin
aspirin_entry_00001_conf_65,aspirin
aspirin_entry_00001_conf_66,aspirin
aspirin_entry_00001_conf_67,aspirin
aspirin_entry_00001_conf_68,aspirin
aspirin_entry_00001_conf_69,aspirin
aspirin_entry_00001_conf_70,aspirin
aspirin_entry_00001_conf_71,aspirin
aspirin_entry_00001_conf_72,aspirin
aspirin_entry_00001_conf_73,aspirin
aspirin_entry_00001_conf_74,aspirin
aspirin_entry_00001_conf_75,aspirin
aspirin_entry_00001_conf_76,aspirin
aspirin_entry_00001_conf_77,aspirin
aspirin_entry_00001_conf_78,aspirin
aspirin_entry_00001_conf_79,aspirin
aspirin_entry_00001_conf_80,aspirin
aspirin_entry_00001_conf_81,aspirin
aspirin_entry_00001_conf_82,aspirin
aspirin_entry_00001_conf_83,aspirin
aspirin_entry_00001_conf_84,aspirin
aspirin_entry_00001_conf_85,aspirin
aspirin_entry_00001_conf_86,aspirin
aspirin_entry_00001_conf_87,aspirin
aspirin_entry_00001_conf_88,aspirin
aspirin_entry_00001_conf_89,aspirin
aspirin_entry_00001_conf_90,aspirin
aspirin_entry_00001_conf_91,aspirin
aspirin_entry_00001_conf_92,aspirin
aspirin_entry_00001_conf_93,aspirin
aspirin_entry_00001_conf_94,aspirin
aspirin_entry_00001_conf_95,aspirin
aspirin_entry_00001_conf_96,aspirin
aspirin_entry_00001_conf_97,aspirin
aspirin_entry_00001_conf_98,aspirin
aspirin_entry_00001_conf_99,aspirin
aspirin_entry_00001_conf_100,aspirin
