TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
aspirin_entry_00001_conf_01,-67.6383,-61.6383,-5.20294,-28.7659,-0.377559,-11.9984,-26.2142,-5.20294,-42.9351,-3,-34.9596,0,0.242096,0,0,13,0,0,-7.85076,0,0,3,0,0,0,1.20111,0
aspirin_entry_00001_conf_02,-62.619,-56.619,-4.81685,-26.6313,-0.349542,-11.108,-24.0795,-4.81685,-41.9229,-2,-35.6004,0,0.280795,-0.0893227,1,12,0,0,-5.18669,0,0,3,0,1,0.818298,1.01842,0
aspirin_entry_00001_conf_03,-60.8788,-54.8788,-4.68299,-25.8912,-0.339828,-10.7993,-23.3394,-4.68299,-41.617,-1,-42.7967,0,0.0776124,0,4,9,0,0,-2.98381,0,0,3,0,2,0,1.4466,0
aspirin_entry_00001_conf_04,-57.7018,-51.7018,-4.4386,-24.54,-0.322094,-10.2358,-21.9883,-4.4386,-37.7351,-1.5701,-30.8795,0,0.150233,-0.050661,0,13,0,0,-6.32443,0,0,3,0,1,2.26285,1.24541,0
aspirin_entry_00001_conf_05,-57.3117,-51.3117,-4.40859,-24.3741,-0.319916,-10.1666,-21.8224,-4.40859,-37.2918,-1,-30.1589,0,0.377495,0,1,12,0,0,-3,0,0,3,0,2,0.799477,0.73498,0
aspirin_entry_00001_conf_06,-55.7161,-49.7161,-4.28585,-23.6955,-0.311009,-9.88351,-21.1438,-4.28585,-33.2266,-1.45395,-28.4853,0,1.91063,0,2,11,0,0,-6,0,0,3,0,2,0,0.976319,0
aspirin_entry_00001_conf_07,-55.4506,-49.4506,-4.26543,-23.5826,-0.309527,-9.83642,-21.0309,-4.26543,-28.9469,-3,-23.4212,0,0.13316,-0.0826687,1,12,0,0,-10.771,0,0,3,0,2,0.762009,1.04547,0
aspirin_entry_00001_conf_08,-55.3687,-49.3687,-4.25913,-23.5478,-0.30907,-9.8219,-20.996,-4.25913,-36.5346,-1,-37.2327,0,0.184498,0,4,9,0,0,-2.87194,0,0,3,0,2,0,1.48016,0
aspirin_entry_00001_conf_09,-54.8657,-48.8657,-4.22044,-23.3338,-0.306262,-9.73267,-20.7821,-4.22044,-37.5584,-0.00799814,-34.0401,0,0,-0.074523,0,13,0,0,0,0,0,3,0,3,0.0145721,1.16256,0
aspirin_entry_00001_conf_10,-54.8201,-48.8201,-4.21693,-23.3145,-0.306008,-9.72458,-20.7627,-4.21693,-37.4444,-1,-32.9152,0,0,-0.1,0,13,0,0,0,0,0,3,0,3,0.0609485,0.939396,0
aspirin_entry_00001_conf_11,-53.8318,-47.8318,-4.14091,-22.8942,-0.300491,-9.54927,-20.3424,-4.14091,-34.8165,-1.65693,-29.5852,0,0.0934461,0,2,11,0,0,-2.82288,0,0,3,0,2,0,1.38111,0
aspirin_entry_00001_conf_12,-53.4984,-47.4984,-4.11526,-22.7523,-0.29863,-9.49011,-20.2006,-4.11526,-35.856,-1,-34.1172,0,1.3564,0,4,9,0,0,-2.47966,0,0,3,0,2,0,1.70672,0
aspirin_entry_00001_conf_13,-53.4014,-47.4014,-4.1078,-22.7111,-0.298089,-9.47292,-20.1594,-4.1078,-34.4835,-1,-33.1578,0,0.303342,0,1,12,0,0,-3,0,0,3,0,2,0.631042,0.780812,0
aspirin_entry_00001_conf_14,-53.2729,-47.2729,-4.09792,-22.6565,-0.297372,-9.45012,-20.1047,-4.09792,-36.2617,-0.978333,-32.477,0,0.0231092,-0.0439851,0,13,0,0,0,0,0,3,0,3,0,0.981507,0
aspirin_entry_00001_conf_15,-52.6883,-46.6883,-4.05295,-22.4078,-0.294108,-9.34642,-19.8561,-4.05295,-32.4057,-1,-27.2581,0,0.38455,0,0,13,0,0,-3,0,0,3,0,2,0,1.14053,0
aspirin_entry_00001_conf_16,-52.5975,-46.5975,-4.04596,-22.3692,-0.293602,-9.33032,-19.8175,-4.04596,-35.0905,0,-32.2832,0,0,-0.1,0,13,0,0,0,0,0,3,0,3,0.0175858,0.962017,0
aspirin_entry_00001_conf_17,-52.0159,-46.0159,-4.00122,-22.1218,-0.290355,-9.22713,-19.5701,-4.00122,-33.8876,-1,-32.7899,0,1.98445,0,1,12,0,0,-2.45431,0,0,3,0,2,0.000614166,1.5236,0
aspirin_entry_00001_conf_18,-51.9809,-45.9809,-3.99853,-22.107,-0.290159,-9.22092,-19.5552,-3.99853,-34.0941,-0.531361,-29.8683,0,0.482991,0,3,10,0,0,-1.69723,0,0,3,0,2,1.46793,0.827673,0
aspirin_entry_00001_conf_19,-51.5619,-45.5619,-3.9663,-21.9288,-0.287821,-9.14661,-19.377,-3.9663,-32.0056,-1,-26.4792,0,0.293316,-0.099082,2,11,0,0,-3,0,0,3,0,2,0.640293,0.789504,0
aspirin_entry_00001_conf_20,-50.9484,-44.9484,-3.91911,-21.6679,-0.284396,-9.03778,-19.1161,-3.91911,-31.1019,-1.75567,-34.5177,0,0.579752,0,3,10,0,0,-3,0,0,3,0,2,0,1.05692,0
aspirin_entry_00001_conf_21,-50.8346,-44.8346,-3.91036,-21.6195,-0.283761,-9.01759,-19.0677,-3.91036,-35.6547,-1,-32.7945,0,0.447834,0,2,11,0,0,-0.411516,0,0,3,0,2,0.768753,1.4389,0
aspirin_entry_00001_conf_22,-50.7327,-44.7327,-3.90251,-21.5761,-0.283192,-8.99951,-19.0244,-3.90251,-31.1912,-1,-25.2327,0,0.413134,0,0,13,0,0,-3,0,0,3,0,2,0.125977,1.17516,0
aspirin_entry_00001_conf_23,-50.5396,-44.5396,-3.88766,-21.494,-0.282114,-8.96525,-18.9423,-3.88766,-36.9424,-1,-34.3884,0,0.137529,0,3,10,0,0,0,0,0,3,0,3,0,2.36946,0
aspirin_entry_00001_conf_24,-50.447,-44.447,-3.88054,-21.4546,-0.281597,-8.94882,-18.9029,-3.88054,-34.1408,-1,-29.0407,0,0.891877,0,1,12,0,0,0,0,0,3,0,3,0,1.43701,0
aspirin_entry_00001_conf_25,-50.2254,-44.2254,-3.86349,-21.3604,-0.28036,-8.90953,-18.8086,-3.86349,-28.1786,-1,-23.1709,0,0.303511,-0.0278749,0,13,0,0,-3,-3,0,3,0,1,0.624343,0.939565,0
aspirin_entry_00001_conf_26,-49.6215,-43.6215,-3.81704,-21.1036,-0.276989,-8.8024,-18.5518,-3.81704,-29.8031,-1.84318,-29.4168,0,0.0194047,-0.0311703,3,10,0,0,-4.73489,0,0,3,0,2,0.497833,1.23023,0
aspirin_entry_00001_conf_27,-48.993,-42.993,-3.76869,-20.8363,-0.273481,-8.69091,-18.2845,-3.76869,-34.0371,0,-28.2528,0,0.247886,0,0,13,0,0,0,0,0,3,0,3,3.13209,0.491778,0
aspirin_entry_00001_conf_28,-48.9009,-42.9009,-3.76161,-20.7971,-0.272967,-8.67457,-18.2453,-3.76161,-33.3128,0,-31.9568,0,1.39022,-0.1,1,12,0,0,0,0,0,3,0,3,0.665852,0.82059,0
aspirin_entry_00001_conf_29,-48.8963,-42.8963,-3.76126,-20.7951,-0.272941,-8.67376,-18.2434,-3.76126,-30.0987,-2,-23.3899,0,0.131763,0,1,12,0,0,-2.52537,0,0,3,0,2,1.12469,0.8352,0
