PLANTS_LIGAND_DESCRIPTION,OLD_LIGAND_DESCRIPTION
ibuprofen_entry_00001_conf_01,ibuprofen
ibuprofen_entry_00001_conf_02,ibuprofen
ibuprofen_entry_00001_conf_03,ibuprofen
ibuprofen_entry_00001_conf_04,ibuprofen
ibuprofen_entry_00001_conf_05,ibuprofen
ibuprofen_entry_00001_conf_06,ibuprofen
ibuprofen_entry_00001_conf_07,ibuprofen
ibuprofen_entry_00001_conf_08,ibuprofen
ibuprofen_entry_00001_conf_09,ibuprofen
ibuprofen_entry_00001_conf_10,ibuprofen
ibuprofen_entry_00001_conf_11,ibuprofen
ibuprofen_entry_00001_conf_12,ibuprofen
ibuprofen_entry_00001_conf_13,ibuprofen
ibuprofen_entry_00001_conf_14,ibuprofen
ibuprofen_entry_00001_conf_15,ibuprofen
ibuprofen_entry_00001_conf_16,ibuprofen
ibuprofen_entry_00001_conf_17,ibuprofen
ibuprofen_entry_00001_conf_18,ibuprofen
ibuprofen_entry_00001_conf_19,ibuprofen
ibuprofen_entry_00001_conf_20,ibuprofen
ibuprofen_entry_00001_conf_21,ibuprofen
ibuprofen_entry_00001_conf_22,ibuprofen
ibuprofen_entry_00001_conf_23,ibuprofen
ibuprofen_entry_00001_conf_24,ibuprofen
ibuprofen_entry_00001_conf_25,ibuprofen
ibuprofen_entry_00001_conf_26,ibuprofen
ibuprofen_entry_00001_conf_27,ibuprofen
ibuprofen_entry_00001_conf_28,ibuprofen
ibuprofen_entry_00001_conf_29,ibuprofen
ibuprofen_entry_00001_conf_30,ibuprofen
ibuprofen_entry_00001_conf_31,ibuprofen
ibuprofen_entry_00001_conf_32,ibuprofen
ibuprofen_entry_00001_conf_33,ibuprofen
ibuprofen_entry_00001_conf_34,ibuprofen
ibuprofen_entry_00001_conf_35,ibuprofen
ibuprofen_entry_00001_conf_36,ibuprofen
ibuprofen_entry_00001_conf_37,ibuprofen
ibuprofen_entry_00001_conf_38,ibuprofen
ibuprofen_entry_00001_conf_39,ibuprofen
ibuprofen_entry_00001_conf_40,ibuprofen
ibuprofen_entry_00001_conf_41,ibuprofen
ibuprofen_entry_00001_conf_42,ibuprofen
ibuprofen_entry_00001_conf_43,ibuprofen
ibuprofen_entry_00001_conf_44,ibuprofen
ibuprofen_entry_00001_conf_45,ibuprofen
ibuprofen_entry_00001_conf_46,ibuprofen
ibuprofen_entry_00001_conf_47,ibuprofen
ibuprofen_entry_00001_conf_48,ibuprofen
ibuprofen_entry_00001_conf_49,ibuprofen
ibuprofen_entry_00001_conf_50,ibuprofen
ibuprofen_entry_00001_conf_51,ibuprofen
ibuprofen_entry_00001_conf_52,ibuprofen
ibuprofen_entry_00001_conf_53,ibuprofen
ibuprofen_entry_00001_conf_54,ibuprofen
ibuprofen_entry_00001_conf_55,ibuprofen
ibuprofen_entry_00001_conf_56,ibuprofen
ibuprofen_entry_00001_conf_57,ibuprofen
ibuprofen_entry_00001_conf_58,ibuprofen
ibuprofen_entry_00001_conf_59,ibuprofen
ibuprofen_entry_00001_conf_60,ibuprofen
ibuprofen_entry_00001_conf_61,ibuprofen
ibuprofen_entry_00001_conf_62,ibuprofen
ibuprofen_entry_00001_conf_63,ibuprofen
ibuprofen_entry_00001_conf_64,ibuprofen
ibuprofen_entry_00001_conf_65,ibuprofen
ibuprofen_entry_00001_conf_66,ibuprofen
ibuprofen_entry_00001_conf_67,ibuprofen
ibuprofen_entry_00001_conf_68,ibuprofen
ibuprofen_entry_00001_conf_69,ibuprofen
ibuprofen_entry_00001_conf_70,ibuprofen
ibuprofen_entry_00001_conf_71,ibuprofen
ibuprofen_entry_00001_conf_72,ibuprofen
ibuprofen_entry_00001_conf_73,ibuprofen
ibuprofen_entry_00001_conf_74,ibuprofen
ibuprofen_entry_00001_conf_75,ibuprofen
ibuprofen_entry_00001_conf_76,ibuprofen
ibuprofen_entry_00001_conf_77,ibuprofen
ibuprofen_entry_00001_conf_78,ibuprofen
ibuprofen_entry_00001_conf_79,ibuprofen
ibuprofen_entry_00001_conf_80,ibuprofen
ibuprofen_entry_00001_conf_81,ibuprofen
ibuprofen_entry_00001_conf_82,ibuprofen
ibuprofen_entry_00001_conf_83,ibuprofen
ibuprofen_entry_00001_conf_84,ibuprofen
ibuprofen_entry_00001_conf_85,ibuprofen
ibuprofen_entry_00001_conf_86,ibuprofen
ibuprofen_entry_00001_conf_87,ibuprofen
ibuprofen_entry_00001_conf_88,ibuprofen
ibuprofen_entry_00001_conf_89,ibuprofen
ibuprofen_entry_00001_conf_90,ibuprofen
ibuprofen_entry_00001_conf_91,ibuprofen
ibuprofen_entry_00001_conf_92,ibuprofen
ibuprofen_entry_00001_conf_93,ibuprofen
ibuprofen_entry_00001_conf_94,ibuprofen
ibuprofen_entry_00001_conf_95,ibuprofen
ibuprofen_entry_00001_conf_96,ibuprofen
ibuprofen_entry_00001_conf_97,ibuprofen
ibuprofen_entry_00001_conf_98,ibuprofen
ibuprofen_entry_00001_conf_99,ibuprofen
ibuprofen_entry_00001_conf_100,ibuprofen
