TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
ibuprofen_entry_00001_conf_01,-69.7559,-61.7559,-4.65039,-28.2846,-0.339832,-11.8252,-25.0408,-4.65039,-51.9334,-2.29445,-47.0521,0,0.122502,0.973037,3,12,0,0,-2.63744,0,0,2,0,1,0,1.92592,0
ibuprofen_entry_00001_conf_02,-67.6275,-59.6275,-4.5085,-27.4216,-0.329463,-11.4644,-24.1778,-4.5085,-49.4819,-1,-43.1345,0,0.198655,0,0,15,0,0,-3,0,0,2,0,1,0,1.85969,0
ibuprofen_entry_00001_conf_03,-65.2915,-57.2915,-4.35277,-26.4744,-0.318083,-11.0684,-23.2306,-4.35277,-48.686,-1,-43.1325,0,0.144521,0,1,14,0,0,-3,0,0,2,0,1,0,2.65269,0
ibuprofen_entry_00001_conf_04,-63.5951,-55.5951,-4.23968,-25.7866,-0.309818,-10.7808,-22.5427,-4.23968,-46.4024,-3.28109,-37.0574,0,0.35892,-0.0571836,0,15,0,0,-3.21695,0,0,2,0,1,0.141683,2.31841,0
ibuprofen_entry_00001_conf_05,-61.1174,-53.1174,-4.0745,-24.7819,-0.297748,-10.3608,-21.5381,-4.0745,-43.1796,-1,-44.773,0,0.989588,0,2,13,0,0,-2.86763,0,0,2,0,1,0.00230471,1.82941,0
ibuprofen_entry_00001_conf_06,-60.6713,-52.6713,-4.04476,-24.601,-0.295574,-10.2852,-21.3572,-4.04476,-40.0576,-2,-35.1435,0,0.291444,-0.1,6,9,0,0,-5.68155,0,0,2,0,0,0,1.92869,0
ibuprofen_entry_00001_conf_07,-60.3744,-52.3744,-4.02496,-24.4806,-0.294128,-10.2348,-21.2368,-4.02496,-43.829,-1,-37.879,0,0.188511,0,0,15,0,0,-3,0,0,2,0,1,1.07753,1.82036,0
ibuprofen_entry_00001_conf_08,-59.6056,-51.6056,-3.97371,-24.1689,-0.290383,-10.1045,-20.9251,-4.25755,-43.7326,-1,-40.8647,0,0.0330866,0,0,15,0,0,-2.74361,0,0,2,0,1,1.52877,2.03494,0
ibuprofen_entry_00001_conf_09,-58.5448,-50.5448,-3.90298,-23.7387,-0.285214,-9.92466,-20.4949,-3.90298,-43.6097,-0.186315,-41.0831,0,0.28247,-0.0775255,2,13,0,0,0,0,0,2,0,2,0,1.83962,0
ibuprofen_entry_00001_conf_10,-58.2301,-50.2301,-3.88201,-23.6112,-0.283681,-9.87133,-20.3673,-3.88201,-43.7005,0,-39.543,0,1.62714,0,4,11,0,0,0,0,0,2,0,2,0.288123,1.90214,0
ibuprofen_entry_00001_conf_11,-57.8729,-49.8729,-3.85819,-23.4663,-0.281941,-9.81077,-20.2225,-3.85819,-40.5055,-2,-37.1142,0,0.201195,0,3,12,0,0,-5.80821,0,0,2,0,0,2.40753,1.97415,0
ibuprofen_entry_00001_conf_12,-57.69,-49.69,-3.846,-23.3921,-0.28105,-9.77976,-20.1483,-3.846,-41.8903,0,-40.164,0,0.229624,0,1,14,0,0,0,0,0,2,0,2,0.287729,1.88574,0
ibuprofen_entry_00001_conf_13,-57.4051,-49.4051,-3.82701,-23.2766,-0.279662,-9.73146,-20.0328,-3.82701,-42.5331,0,-38.4832,0,0.193006,0,1,14,0,0,0,0,0,2,0,2,0,1.81864,0
ibuprofen_entry_00001_conf_14,-56.4372,-48.4372,-3.76248,-22.8842,-0.274947,-9.56738,-19.6403,-3.76248,-41.2987,0,-40.6797,0,0.22744,0,2,13,0,0,0,0,0,2,0,2,0,1.95555,0
ibuprofen_entry_00001_conf_15,-56.2233,-48.2233,-3.74822,-22.7974,-0.273905,-9.53112,-19.5536,-3.74822,-40.3565,-0.485099,-38.5738,0,0.155802,-0.0635532,3,12,0,0,-0.459697,0,0,2,0,1,0,1.83083,0
ibuprofen_entry_00001_conf_16,-55.4348,-47.4348,-3.69565,-22.4777,-0.270063,-9.39746,-19.2339,-3.69565,-40.4188,-1,-43.9311,0,1.08452,0,3,12,0,0,0,0,0,2,0,2,0,1.81833,0
ibuprofen_entry_00001_conf_17,-54.9304,-46.9304,-3.66203,-22.2732,-0.267606,-9.31195,-19.0294,-3.66203,-41.1674,0,-36.7893,0,0.0874045,0,1,14,0,0,0,0,0,2,0,2,1.07942,2.02737,0
ibuprofen_entry_00001_conf_18,-54.9005,-46.9005,-3.66003,-22.2611,-0.26746,-9.30688,-19.0172,-3.66003,-32.8792,-1,-26.9644,0,0.18227,0,1,14,0,0,-3,-3,0,2,0,0,0,1.84133,0
ibuprofen_entry_00001_conf_19,-54.632,-46.632,-3.64213,-22.1522,-0.266152,-9.26136,-18.9083,-3.64213,-33.0394,-2,-27.2643,0,0.165175,-0.00417576,1,14,0,0,-6,0,0,2,0,0,0,1.88166,0
ibuprofen_entry_00001_conf_20,-54.6073,-46.6073,-3.64049,-22.1422,-0.266032,-9.25717,-18.8983,-3.64049,-36.4837,-1,-32.2947,0,0.134538,0,0,15,0,0,-2.75377,0,0,2,0,1,0,2.07305,0
ibuprofen_entry_00001_conf_21,-54.0425,-46.0425,-3.60284,-21.9132,-0.263281,-9.16143,-18.6693,-3.60284,-36.6088,0,-33.7144,0,0.21936,-0.019108,2,13,0,0,0,-3,0,2,0,1,0,2.00548,0
ibuprofen_entry_00001_conf_22,-53.1772,-45.1772,-3.54514,-21.5623,-0.259065,-9.01473,-18.3184,-3.54514,-34.724,-2.55196,-27.0282,0,0.178212,0,0,15,0,0,-3,0,0,2,0,1,0,1.82296,0
ibuprofen_entry_00001_conf_23,-52.7659,-44.7659,-3.51773,-21.3955,-0.257061,-8.94502,-18.1517,-3.51773,-28.4425,-1.40221,-20.5366,0,0.263059,0,0,15,0,0,-9,0,0,2,0,0,0,1.82304,0
ibuprofen_entry_00001_conf_24,-52.3605,-44.3605,-3.4907,-21.2311,-0.255086,-8.87629,-17.9873,-3.4907,-38.4288,0,-38.1445,0,0,-0.0144104,2,13,0,0,0,0,0,2,0,2,1.05993,1.98796,0
ibuprofen_entry_00001_conf_25,-52.2918,-44.2918,-3.48612,-21.2033,-0.254752,-8.86465,-17.9595,-3.48612,-35.4557,-1,-31.8876,0,0.103588,-0.0874477,3,12,0,0,-3,0,0,2,0,1,1.34978,2.08685,0
ibuprofen_entry_00001_conf_26,-52.1554,-44.1554,-3.47703,-21.148,-0.254087,-8.84153,-17.9041,-3.47703,-36.5067,-1,-38.8954,0,2.74176,-0.1,4,11,0,0,-1.73974,0,0,2,0,1,1.43105,1.82371,0
ibuprofen_entry_00001_conf_27,-52.1218,-44.1218,-3.47479,-21.1344,-0.253924,-8.83583,-17.8905,-3.47479,-26.0059,-2,-25.5187,0,0,0,3,12,0,0,-10.8823,0,0,2,0,1,0.131976,1.81633,0
ibuprofen_entry_00001_conf_28,-52.1104,-44.1104,-3.47403,-21.1297,-0.253868,-8.83389,-17.8859,-3.47403,-37.1849,0,-33.7028,0,0.153892,0,0,15,0,0,0,0,0,2,0,2,0,1.86953,0
ibuprofen_entry_00001_conf_29,-52.0758,-44.0758,-3.47172,-21.1157,-0.253699,-8.82803,-17.8719,-3.47172,-30.519,-1,-27.5203,0,1.40593,0,3,12,0,0,-5.68096,-0.993273,0,2,0,0,0,1.90967,0
ibuprofen_entry_00001_conf_30,-51.7189,-43.7189,-3.44793,-20.971,-0.25196,-8.76752,-17.7271,-3.44793,-38.2814,0,-38.9601,0,0.495273,0,3,12,0,0,0,0,0,2,0,2,0.99853,2.29571,0
ibuprofen_entry_00001_conf_31,-50.5623,-42.5623,-3.37082,-20.502,-0.246326,-8.57146,-17.2582,-3.37082,-32.9613,-1,-36.2862,0,0.11995,-0.0376702,7,8,0,0,-3,0,0,2,0,1,0.0312968,1.86508,0
ibuprofen_entry_00001_conf_32,-50.4688,-42.4688,-3.36459,-20.4641,-0.24587,-8.55561,-17.2203,-3.36459,-37.5112,-1,-38.8865,0,0.529876,-0.0455485,6,9,0,0,0,0,0,2,0,2,2.1491,1.90941,0
ibuprofen_entry_00001_conf_33,-50.4687,-42.4687,-3.36458,-20.464,-0.24587,-8.55558,-17.2202,-3.36458,-36.2399,0,-36.7433,0,0.16311,-0.0147716,3,12,0,0,0,0,0,2,0,2,0.743459,1.94339,0
ibuprofen_entry_00001_conf_34,-50.383,-42.383,-3.35887,-20.4293,-0.245452,-8.54106,-17.1855,-3.35887,-33.0937,-1,-35.5612,0,0.884544,0,5,10,0,0,-2.57656,0,0,2,0,1,0,1.8159,0
ibuprofen_entry_00001_conf_35,-50.356,-42.356,-3.35706,-20.4183,-0.245321,-8.53648,-17.1745,-3.35706,-34.5656,0,-33.4381,0,0,-0.1,0,15,0,0,0,0,0,2,0,2,0,1.81983,0
ibuprofen_entry_00001_conf_36,-50.0478,-42.0478,-3.33652,-20.2934,-0.243819,-8.48424,-17.0496,-3.33652,-40.5108,0,-41.9736,0,0.810914,-0.1,2,13,0,0,0,0,0,2,0,2,4.82967,2.28149,0
ibuprofen_entry_00001_conf_37,-49.9774,-41.9774,-3.33183,-20.2648,-0.243476,-8.4723,-17.021,-3.33183,-35.4712,-0.860186,-32.9883,0,3.32879,0,4,11,0,0,0,0,0,2,0,2,0,2.26549,0
ibuprofen_entry_00001_conf_38,-49.596,-41.596,-3.3064,-20.1102,-0.241618,-8.40765,-16.8664,-3.3064,-35.2936,0,-33.5319,0,0,-0.015955,0,15,0,0,0,0,0,2,0,2,1.09066,1.82074,0
ibuprofen_entry_00001_conf_39,-49.5468,-41.5468,-3.30312,-20.0903,-0.241379,-8.39931,-16.8464,-3.30312,-36.6569,0,-39.5835,0,3.50494,-0.0267307,5,10,0,0,0,0,0,2,0,2,2.31136,1.82752,0
ibuprofen_entry_00001_conf_40,-48.9671,-40.9671,-3.26448,-19.8552,-0.238555,-8.30104,-16.6114,-3.26448,-27.599,-1,-29.4043,0,0.0197161,0,3,12,0,0,-6,0,0,2,0,1,0,1.82738,0
ibuprofen_entry_00001_conf_41,-48.9523,-40.9523,-3.26349,-19.8492,-0.238483,-8.29853,-16.6054,-3.26349,-32.9576,0,-30.2022,0,0.0493581,-0.0115767,0,15,0,0,0,0,0,2,0,2,0,1.82014,0
ibuprofen_entry_00001_conf_42,-48.8806,-40.8806,-3.25871,-19.8201,-0.238133,-8.28637,-16.5763,-3.25871,-33.5816,0,-32.6681,0,0.261219,-0.0582839,2,13,0,0,0,0,0,2,0,2,0.107719,1.82443,0
ibuprofen_entry_00001_conf_43,-48.3638,-40.3638,-3.22425,-19.6105,-0.235615,-8.19875,-16.3667,-3.22425,-34.069,0,-31.7497,0,0.1205,-0.0886559,0,15,0,0,0,0,0,2,0,2,0,2.24836,0
ibuprofen_entry_00001_conf_44,-48.2336,-40.2336,-3.21557,-19.5578,-0.234981,-8.17669,-16.3139,-3.21557,-39.1381,-0.0519681,-42.2234,0,0.266456,-0.0150817,4,11,0,0,0,-1.95521,0,2,0,1,3.82346,3.83232,0
ibuprofen_entry_00001_conf_45,-48.1794,-40.1794,-3.21196,-19.5358,-0.234717,-8.1675,-16.2919,-3.21196,-34.4431,0,-32.1963,0,0.0986296,0,1,14,0,0,0,0,0,2,0,2,1.59113,1.93371,0
ibuprofen_entry_00001_conf_46,-48.1757,-40.1757,-3.21171,-19.5343,-0.234699,-8.16687,-16.2904,-3.21171,-35.8975,-1,-36.1573,0,0.706755,-0.0339304,6,9,0,0,-0.127235,0,0,2,0,2,1.81786,2.28683,0
ibuprofen_entry_00001_conf_47,-47.9995,-39.9995,-3.19997,-19.4628,-0.233841,-8.137,-16.219,-3.19997,-29.2665,-1,-25.5215,0,0.244039,-0.0217984,1,14,0,0,-3,0,0,2,0,1,0,1.90219,0
ibuprofen_entry_00001_conf_48,-47.9253,-39.9253,-3.19502,-19.4327,-0.233479,-8.12442,-16.1889,-3.19502,-34.6114,0,-31.7957,0,0.150531,0,1,14,0,0,0,0,0,2,0,2,1.99234,1.82925,0
ibuprofen_entry_00001_conf_49,-47.7287,-39.7287,-3.18191,-19.353,-0.232521,-8.09109,-16.1092,-3.18191,-33.8573,-1,-38.6872,0,0.214983,0,6,9,0,0,-0.75199,0,0,2,0,1,1.59824,2.19045,0
ibuprofen_entry_00001_conf_50,-47.4607,-39.4607,-3.16404,-19.2444,-0.231215,-8.04566,-16.0005,-3.16404,-22.0581,-2,-21.7924,0,0.0704515,0,2,13,0,0,-10.8396,0,0,2,0,1,0.423141,1.83382,0
ibuprofen_entry_00001_conf_51,-47.4311,-39.4311,-3.16208,-19.2324,-0.231072,-8.04065,-15.9885,-3.38794,-32.4834,0,-30.6659,0,0.0203059,0,0,14,1,0,0,0,0,2,0,2,0,1.85568,0
ibuprofen_entry_00001_conf_52,-47.353,-39.353,-3.15686,-19.2007,-0.230691,-8.0274,-15.9568,-3.15686,-28.5585,-1,-22.7928,0,0.130615,0,0,15,0,0,0,-3,0,2,0,1,0,1.84154,0
ibuprofen_entry_00001_conf_53,-47.3195,-39.3195,-3.15464,-19.1871,-0.230528,-8.02174,-15.9433,-3.15464,-32.607,-1,-31.3163,0,0.16607,-0.0941534,2,13,0,0,0,0,0,2,0,2,0,1.81666,0
ibuprofen_entry_00001_conf_54,-46.7222,-38.7222,-3.11481,-18.9449,-0.227618,-7.92047,-15.7011,-3.3373,-32.2251,0,-29.7275,0,0,-0.1,0,14,1,0,0,0,0,2,0,2,1.10319,1.84114,0
ibuprofen_entry_00001_conf_55,-46.6425,-38.6425,-3.1095,-18.9126,-0.22723,-7.90696,-15.6688,-3.1095,-32.2922,0,-32.7365,0,1.04322,-0.0235958,5,10,0,0,0,0,0,2,0,2,1.05303,1.91505,0
ibuprofen_entry_00001_conf_56,-46.6256,-38.6256,-3.10837,-18.9057,-0.227147,-7.90409,-15.6619,-3.10837,-28.1334,-1,-24.5551,0,0.031426,-0.00318873,0,15,0,0,-2.94307,0,0,2,0,1,0,1.83704,0
ibuprofen_entry_00001_conf_57,-46.5286,-38.5286,-3.1019,-18.8664,-0.226675,-7.88764,-15.6226,-3.1019,-33.3563,-2.7682,-33.2786,0,0.843857,-0.0230355,7,8,0,0,-2.08018,0,0,2,0,1,2.47094,2.03697,0
ibuprofen_entry_00001_conf_58,-46.4276,-38.4276,-3.09518,-18.8255,-0.226183,-7.87053,-15.5816,-3.09518,-33.1716,0,-30.6325,0,0.19394,-0.0538286,0,15,0,0,0,0,0,2,0,2,1.76381,1.99489,0
ibuprofen_entry_00001_conf_59,-46.3595,-38.3595,-3.09064,-18.7979,-0.225851,-7.85899,-15.554,-3.3114,-27.8079,-1,-23.1849,0,0.164253,-0.0510254,2,12,1,0,-3,0,0,2,0,1,0,1.84383,0
ibuprofen_entry_00001_conf_60,-46.2869,-38.2869,-3.08579,-18.7684,-0.225497,-7.84668,-15.5246,-3.30621,-21.5654,-2,-23.7243,0,0,0,3,11,1,0,-8.61204,0,0,2,0,1,0,1.84669,0
ibuprofen_entry_00001_conf_61,-46.2822,-38.2822,-3.08548,-18.7665,-0.225474,-7.84588,-15.5227,-3.08548,-20.8096,-2,-15.4531,0,0.0591435,0,0,15,0,0,-10.9128,0,0,2,0,1,1.09076,1.81923,0
ibuprofen_entry_00001_conf_62,-45.8046,-37.8046,-3.05364,-18.5729,-0.223148,-7.76491,-15.329,-3.05364,-30.6241,0,-28.4299,0,0,-0.1,0,15,0,0,0,0,0,2,0,2,0,1.81546,0
ibuprofen_entry_00001_conf_63,-45.8036,-37.8036,-3.05357,-18.5725,-0.223143,-7.76475,-15.3286,-3.05357,-31.555,0,-28.7125,0,0.0831299,0,0,15,0,0,0,0,0,2,0,2,1.08928,1.81596,0
ibuprofen_entry_00001_conf_64,-45.577,-37.577,-3.03846,-18.4805,-0.222039,-7.72633,-15.2367,-3.03846,-23.7935,-3.35343,-19.403,0,0.0690498,0,0,15,0,0,-6.38828,0,0,2,0,1,0,1.83353,0
ibuprofen_entry_00001_conf_65,-45.5138,-37.5138,-3.03425,-18.4549,-0.221731,-7.71561,-15.2111,-3.03425,-30.6413,0,-26.2391,0,0.142718,0,3,12,0,0,0,0,0,2,0,2,0.3721,2.00498,0
ibuprofen_entry_00001_conf_66,-45.4061,-37.4061,-3.02708,-18.4113,-0.221206,-7.69737,-15.1674,-3.24329,-31.3561,0,-29.2905,0,0.00423513,0,0,14,1,0,0,0,0,2,0,2,1.08469,1.82415,0
ibuprofen_entry_00001_conf_67,-45.366,-37.366,-3.0244,-18.395,-0.221011,-7.69057,-15.1512,-3.0244,-26.6006,-1,-26.4707,0,0.359188,0,3,12,0,0,-5.29763,0,0,2,0,1,1.36145,2.16961,0
ibuprofen_entry_00001_conf_68,-45.2792,-37.2792,-3.01861,-18.3598,-0.220588,-7.67585,-15.116,-3.01861,-29.3221,-0.534367,-30.2784,0,1.38125,0,7,8,0,0,-3,0,0,2,0,1,0,2.0333,0
ibuprofen_entry_00001_conf_69,-45.2392,-37.2392,-3.01594,-18.3436,-0.220393,-7.66906,-15.0997,-3.01594,-31.0244,0,-40.1829,0,1.26511,-0.0474191,8,7,0,0,0,0,0,2,0,2,0.0266128,1.96168,0
ibuprofen_entry_00001_conf_70,-45.2203,-37.2203,-3.01469,-18.3359,-0.220301,-7.66587,-15.0921,-3.01469,-30.9342,0,-27.1657,0,0.0765028,-0.0477331,0,15,0,0,0,0,0,2,0,2,1.21763,1.81673,0
ibuprofen_entry_00001_conf_71,-45.0336,-37.0336,-3.00224,-18.2602,-0.219392,-7.63422,-15.0164,-3.00224,-27.3024,-1,-25.7672,0,0.145493,-0.0391336,4,11,0,0,-3,0,0,2,0,1,0.772,1.82049,0
