LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
ibuprofen_entry_00001_conf_01,-69.7559,-61.7559,-4.65039,-28.2846,-0.339832,-11.8252,-25.0408,-4.65039,9281143,68.0898
ibuprofen_entry_00001_conf_02,-67.6275,-59.6275,-4.5085,-27.4216,-0.329463,-11.4644,-24.1778,-4.5085,9281143,68.0898
ibuprofen_entry_00001_conf_03,-65.2915,-57.2915,-4.35277,-26.4744,-0.318083,-11.0684,-23.2306,-4.35277,9281143,68.0898
ibuprofen_entry_00001_conf_04,-63.5951,-55.5951,-4.23968,-25.7866,-0.309818,-10.7808,-22.5427,-4.23968,9281143,68.0898
ibuprofen_entry_00001_conf_05,-61.1174,-53.1174,-4.0745,-24.7819,-0.297748,-10.3608,-21.5381,-4.0745,9281143,68.0898
ibuprofen_entry_00001_conf_06,-60.6713,-52.6713,-4.04476,-24.601,-0.295574,-10.2852,-21.3572,-4.04476,9281143,68.0898
ibuprofen_entry_00001_conf_07,-60.3744,-52.3744,-4.02496,-24.4806,-0.294128,-10.2348,-21.2368,-4.02496,9281143,68.0898
ibuprofen_entry_00001_conf_08,-59.6056,-51.6056,-3.97371,-24.1689,-0.290383,-10.1045,-20.9251,-4.25755,9281143,68.0898
ibuprofen_entry_00001_conf_09,-58.5448,-50.5448,-3.90298,-23.7387,-0.285214,-9.92466,-20.4949,-3.90298,9281143,68.0898
ibuprofen_entry_00001_conf_10,-58.2301,-50.2301,-3.88201,-23.6112,-0.283681,-9.87133,-20.3673,-3.88201,9281143,68.0898
ibuprofen_entry_00001_conf_11,-57.8729,-49.8729,-3.85819,-23.4663,-0.281941,-9.81077,-20.2225,-3.85819,9281143,68.0898
ibuprofen_entry_00001_conf_12,-57.69,-49.69,-3.846,-23.3921,-0.28105,-9.77976,-20.1483,-3.846,9281143,68.0898
ibuprofen_entry_00001_conf_13,-57.4051,-49.4051,-3.82701,-23.2766,-0.279662,-9.73146,-20.0328,-3.82701,9281143,68.0898
ibuprofen_entry_00001_conf_14,-56.4372,-48.4372,-3.76248,-22.8842,-0.274947,-9.56738,-19.6403,-3.76248,9281143,68.0898
ibuprofen_entry_00001_conf_15,-56.2233,-48.2233,-3.74822,-22.7974,-0.273905,-9.53112,-19.5536,-3.74822,9281143,68.0898
ibuprofen_entry_00001_conf_16,-55.4348,-47.4348,-3.69565,-22.4777,-0.270063,-9.39746,-19.2339,-3.69565,9281143,68.0898
ibuprofen_entry_00001_conf_17,-54.9304,-46.9304,-3.66203,-22.2732,-0.267606,-9.31195,-19.0294,-3.66203,9281143,68.0898
ibuprofen_entry_00001_conf_18,-54.9005,-46.9005,-3.66003,-22.2611,-0.26746,-9.30688,-19.0172,-3.66003,9281143,68.0898
ibuprofen_entry_00001_conf_19,-54.632,-46.632,-3.64213,-22.1522,-0.266152,-9.26136,-18.9083,-3.64213,9281143,68.0898
ibuprofen_entry_00001_conf_20,-54.6073,-46.6073,-3.64049,-22.1422,-0.266032,-9.25717,-18.8983,-3.64049,9281143,68.0898
ibuprofen_entry_00001_conf_21,-54.0425,-46.0425,-3.60284,-21.9132,-0.263281,-9.16143,-18.6693,-3.60284,9281143,68.0898
ibuprofen_entry_00001_conf_22,-53.1772,-45.1772,-3.54514,-21.5623,-0.259065,-9.01473,-18.3184,-3.54514,9281143,68.0898
ibuprofen_entry_00001_conf_23,-52.7659,-44.7659,-3.51773,-21.3955,-0.257061,-8.94502,-18.1517,-3.51773,9281143,68.0898
ibuprofen_entry_00001_conf_24,-52.3605,-44.3605,-3.4907,-21.2311,-0.255086,-8.87629,-17.9873,-3.4907,9281143,68.0898
ibuprofen_entry_00001_conf_25,-52.2918,-44.2918,-3.48612,-21.2033,-0.254752,-8.86465,-17.9595,-3.48612,9281143,68.0898
ibuprofen_entry_00001_conf_26,-52.1554,-44.1554,-3.47703,-21.148,-0.254087,-8.84153,-17.9041,-3.47703,9281143,68.0898
ibuprofen_entry_00001_conf_27,-52.1218,-44.1218,-3.47479,-21.1344,-0.253924,-8.83583,-17.8905,-3.47479,9281143,68.0898
ibuprofen_entry_00001_conf_28,-52.1104,-44.1104,-3.47403,-21.1297,-0.253868,-8.83389,-17.8859,-3.47403,9281143,68.0898
ibuprofen_entry_00001_conf_29,-52.0758,-44.0758,-3.47172,-21.1157,-0.253699,-8.82803,-17.8719,-3.47172,9281143,68.0898
ibuprofen_entry_00001_conf_30,-51.7189,-43.7189,-3.44793,-20.971,-0.25196,-8.76752,-17.7271,-3.44793,9281143,68.0898
ibuprofen_entry_00001_conf_31,-50.5623,-42.5623,-3.37082,-20.502,-0.246326,-8.57146,-17.2582,-3.37082,9281143,68.0898
ibuprofen_entry_00001_conf_32,-50.4688,-42.4688,-3.36459,-20.4641,-0.24587,-8.55561,-17.2203,-3.36459,9281143,68.0898
ibuprofen_entry_00001_conf_33,-50.4687,-42.4687,-3.36458,-20.464,-0.24587,-8.55558,-17.2202,-3.36458,9281143,68.0898
ibuprofen_entry_00001_conf_34,-50.383,-42.383,-3.35887,-20.4293,-0.245452,-8.54106,-17.1855,-3.35887,9281143,68.0898
ibuprofen_entry_00001_conf_35,-50.356,-42.356,-3.35706,-20.4183,-0.245321,-8.53648,-17.1745,-3.35706,9281143,68.0898
ibuprofen_entry_00001_conf_36,-50.0478,-42.0478,-3.33652,-20.2934,-0.243819,-8.48424,-17.0496,-3.33652,9281143,68.0898
ibuprofen_entry_00001_conf_37,-49.9774,-41.9774,-3.33183,-20.2648,-0.243476,-8.4723,-17.021,-3.33183,9281143,68.0898
ibuprofen_entry_00001_conf_38,-49.596,-41.596,-3.3064,-20.1102,-0.241618,-8.40765,-16.8664,-3.3064,9281143,68.0898
ibuprofen_entry_00001_conf_39,-49.5468,-41.5468,-3.30312,-20.0903,-0.241379,-8.39931,-16.8464,-3.30312,9281143,68.0898
ibuprofen_entry_00001_conf_40,-48.9671,-40.9671,-3.26448,-19.8552,-0.238555,-8.30104,-16.6114,-3.26448,9281143,68.0898
ibuprofen_entry_00001_conf_41,-48.9523,-40.9523,-3.26349,-19.8492,-0.238483,-8.29853,-16.6054,-3.26349,9281143,68.0898
ibuprofen_entry_00001_conf_42,-48.8806,-40.8806,-3.25871,-19.8201,-0.238133,-8.28637,-16.5763,-3.25871,9281143,68.0898
ibuprofen_entry_00001_conf_43,-48.3638,-40.3638,-3.22425,-19.6105,-0.235615,-8.19875,-16.3667,-3.22425,9281143,68.0898
ibuprofen_entry_00001_conf_44,-48.2336,-40.2336,-3.21557,-19.5578,-0.234981,-8.17669,-16.3139,-3.21557,9281143,68.0898
ibuprofen_entry_00001_conf_45,-48.1794,-40.1794,-3.21196,-19.5358,-0.234717,-8.1675,-16.2919,-3.21196,9281143,68.0898
