PLANTS_LIGAND_DESCRIPTION,OLD_LIGAND_DESCRIPTION
olaparib_entry_00001_conf_01,olaparib
olaparib_entry_00001_conf_02,olaparib
olaparib_entry_00001_conf_03,olaparib
olaparib_entry_00001_conf_04,olaparib
olaparib_entry_00001_conf_05,olaparib
olaparib_entry_00001_conf_06,olaparib
olaparib_entry_00001_conf_07,olaparib
olaparib_entry_00001_conf_08,olaparib
olaparib_entry_00001_conf_09,olaparib
olaparib_entry_00001_conf_10,olaparib
olaparib_entry_00001_conf_11,olaparib
olaparib_entry_00001_conf_12,olaparib
olaparib_entry_00001_conf_13,olaparib
olaparib_entry_00001_conf_14,olaparib
olaparib_entry_00001_conf_15,olaparib
olaparib_entry_00001_conf_16,olaparib
olaparib_entry_00001_conf_17,olaparib
olaparib_entry_00001_conf_18,olaparib
olaparib_entry_00001_conf_19,olaparib
olaparib_entry_00001_conf_20,olaparib
olaparib_entry_00001_conf_21,olaparib
olaparib_entry_00001_conf_22,olaparib
olaparib_entry_00001_conf_23,olaparib
olaparib_entry_00001_conf_24,olaparib
olaparib_entry_00001_conf_25,olaparib
olaparib_entry_00001_conf_26,olaparib
olaparib_entry_00001_conf_27,olaparib
olaparib_entry_00001_conf_28,olaparib
olaparib_entry_00001_conf_29,olaparib
olaparib_entry_00001_conf_30,olaparib
olaparib_entry_00001_conf_31,olaparib
olaparib_entry_00001_conf_32,olaparib
olaparib_entry_00001_conf_33,olaparib
olaparib_entry_00001_conf_34,olaparib
olaparib_entry_00001_conf_35,olaparib
olaparib_entry_00001_conf_36,olaparib
olaparib_entry_00001_conf_37,olaparib
olaparib_entry_00001_conf_38,olaparib
olaparib_entry_00001_conf_39,olaparib
olaparib_entry_00001_conf_40,olaparib
olaparib_entry_00001_conf_41,olaparib
olaparib_entry_00001_conf_42,olaparib
olaparib_entry_00001_conf_43,olaparib
olaparib_entry_00001_conf_44,olaparib
olaparib_entry_00001_conf_45,olaparib
olaparib_entry_00001_conf_46,olaparib
olaparib_entry_00001_conf_47,olaparib
olaparib_entry_00001_conf_48,olaparib
olaparib_entry_00001_conf_49,olaparib
olaparib_entry_00001_conf_50,olaparib
olaparib_entry_00001_conf_51,olaparib
olaparib_entry_00001_conf_52,olaparib
olaparib_entry_00001_conf_53,olaparib
olaparib_entry_00001_conf_54,olaparib
olaparib_entry_00001_conf_55,olaparib
olaparib_entry_00001_conf_56,olaparib
olaparib_entry_00001_conf_57,olaparib
olaparib_entry_00001_conf_58,olaparib
olaparib_entry_00001_conf_59,olaparib
olaparib_entry_00001_conf_60,olaparib
olaparib_entry_00001_conf_61,olaparib
olaparib_entry_00001_conf_62,olaparib
olaparib_entry_00001_conf_63,olaparib
olaparib_entry_00001_conf_64,olaparib
olaparib_entry_00001_conf_65,olaparib
olaparib_entry_00001_conf_66,olaparib
olaparib_entry_00001_conf_67,olaparib
olaparib_entry_00001_conf_68,olaparib
olaparib_entry_00001_conf_69,olaparib
olaparib_entry_00001_conf_70,olaparib
olaparib_entry_00001_conf_71,olaparib
olaparib_entry_00001_conf_72,olaparib
olaparib_entry_00001_conf_73,olaparib
olaparib_entry_00001_conf_74,olaparib
olaparib_entry_00001_conf_75,olaparib
olaparib_entry_00001_conf_76,olaparib
olaparib_entry_00001_conf_77,olaparib
olaparib_entry_00001_conf_78,olaparib
olaparib_entry_00001_conf_79,olaparib
olaparib_entry_00001_conf_80,olaparib
olaparib_entry_00001_conf_81,olaparib
olaparib_entry_00001_conf_82,olaparib
olaparib_entry_00001_conf_83,olaparib
olaparib_entry_00001_conf_84,olaparib
olaparib_entry_00001_conf_85,olaparib
olaparib_entry_00001_conf_86,olaparib
olaparib_entry_00001_conf_87,olaparib
olaparib_entry_00001_conf_88,olaparib
olaparib_entry_00001_conf_89,olaparib
olaparib_entry_00001_conf_90,olaparib
olaparib_entry_00001_conf_91,olaparib
olaparib_entry_00001_conf_92,olaparib
olaparib_entry_00001_conf_93,olaparib
olaparib_entry_00001_conf_94,olaparib
olaparib_entry_00001_conf_95,olaparib
olaparib_entry_00001_conf_96,olaparib
olaparib_entry_00001_conf_97,olaparib
olaparib_entry_00001_conf_98,olaparib
olaparib_entry_00001_conf_99,olaparib
olaparib_entry_00001_conf_100,olaparib
