TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
olaparib_entry_00001_conf_01,-85.9996,-77.9996,-2.68749,-27.0882,-0.197944,-11.3548,-24.5683,-2.86665,-82.2039,-1.10343,-73.6482,0,0.151198,-0.1,2,28,2,0,-3,0,1,4,1,3,2.02187,7.71179,0
olaparib_entry_00001_conf_02,-84.4254,-76.4254,-2.63829,-26.5923,-0.194321,-11.1469,-24.0725,-2.63829,-80.0703,-0.413371,-70.44,0,0.723418,0,1,31,0,0,-2.45316,0,1,4,1,3,2.56845,6.92895,0
olaparib_entry_00001_conf_03,-81.1487,-73.1487,-2.5359,-25.5602,-0.186779,-10.7143,-23.0404,-2.5359,-70.1765,-4.8003,-65.4063,0,0.61829,0,5,27,0,0,-9.08691,0,1,4,1,2,0,7.60308,0
olaparib_entry_00001_conf_04,-80.3535,-72.3535,-2.51105,-25.3098,-0.184949,-10.6093,-22.7899,-2.59205,-76.0861,-0.580573,-66.6101,0,0.249849,-0.1,0,31,1,0,0,0,1,4,1,4,0.00307825,6.94739,0
olaparib_entry_00001_conf_05,-77.9479,-69.9479,-2.43587,-24.552,-0.179412,-10.2917,-22.0322,-2.43587,-75.1399,-2.89959,-67.5587,0,0.501418,-0.1,3,29,0,0,-2.21747,0,1,4,1,2,2.19906,7.42792,0
olaparib_entry_00001_conf_06,-75.0868,-67.0868,-2.34646,-23.6508,-0.172826,-9.91392,-21.131,-2.34646,-67.4967,-2,-61.2175,0,0.369669,-0.0570289,3,28,1,0,-3.8888,0,1,4,0,3,1.15435,6.7252,0
olaparib_entry_00001_conf_07,-74.3214,-66.3214,-2.32254,-23.4098,-0.171065,-9.81286,-20.8899,-2.25216,-62.2286,-2.5591,-52.0246,0,0.559243,-0.000918389,2,30,0,0,-5.89763,-3,1,4,0,2,0,7.27699,0
olaparib_entry_00001_conf_08,-74.0616,-66.0616,-2.31442,-23.3279,-0.170467,-9.77856,-20.8081,-2.31442,-68.4103,-2,-57.5309,0,0.476739,-0.0273236,1,31,0,0,-3,0,1,4,1,3,0,7.71233,0
olaparib_entry_00001_conf_09,-72.2541,-64.2541,-2.25794,-22.7586,-0.166306,-9.53992,-20.2388,-2.18952,-67.4912,-2.24708,-60.5259,0,0.356607,-0.0375453,4,28,0,0,-3,0,1,4,0,4,2.20739,7.35386,0
olaparib_entry_00001_conf_10,-69.5437,-61.5437,-2.17324,-21.9049,-0.160068,-9.18206,-19.3851,-2.17324,-76.4064,-3,-68.6496,0,1.30972,-0.1,5,27,0,0,0,0,1,4,1,4,10.9031,7.29581,0
olaparib_entry_00001_conf_11,-69.4739,-61.4739,-2.17106,-21.8829,-0.159907,-9.17284,-19.3631,-2.10527,-60.3602,-2.57074,-62.9405,0,1.85695,4.43375,6,26,0,0,-8.88776,0,1,4,0,3,4.33799,6.08345,0
olaparib_entry_00001_conf_12,-68.6522,-60.6522,-2.14538,-21.6241,-0.158016,-9.06435,-19.1042,-2.14538,-62.8887,-1.56576,-54.0016,0,0.122954,-0.1,3,29,0,0,-1.10418,0,1,4,1,3,0.00450346,6.99599,0
olaparib_entry_00001_conf_13,-67.5561,-59.5561,-2.11113,-21.2788,-0.155493,-8.91962,-18.759,-2.11113,-60.4362,-1,-59.7425,0,0.19827,-0.0783547,3,29,0,0,-3,0,1,4,1,3,0.00456187,7.02658,0
olaparib_entry_00001_conf_14,-66.5853,-58.5853,-2.08079,-20.973,-0.153258,-8.79144,-18.4532,-2.08079,-58.8755,-1.91722,-51.0291,0,0.230216,-0.0634659,1,31,0,0,-4.39202,0,1,4,1,2,0,7.31158,0
olaparib_entry_00001_conf_15,-66.5631,-58.5631,-2.0801,-20.9661,-0.153207,-8.78852,-18.4462,-2.21877,-60.3095,0,-57.735,0,0.37712,-0.0424642,4,26,2,0,0,-2.87644,1,4,1,3,0,7.59734,0
olaparib_entry_00001_conf_16,-65.9485,-57.9485,-2.06089,-20.7725,-0.151793,-8.70738,-18.2526,-2.12737,-59.2049,-1.16677,-49.4556,0,0.130966,-0.0377928,0,31,1,0,-1.933,0,1,4,1,3,0.208113,6.86766,0
olaparib_entry_00001_conf_17,-64.2059,-56.2059,-2.00643,-20.2236,-0.147782,-8.47728,-17.7037,-2.00643,-63.7188,-0.748055,-56.1847,0,2.44403,0.499392,4,28,0,0,0,0,1,4,1,4,2.76897,7.16616,0
olaparib_entry_00001_conf_18,-63.8335,-55.8335,-1.9948,-20.1063,-0.146925,-8.42813,-17.5865,-1.9948,-57.6679,-1,-57.7112,0,0.337547,0,4,28,0,0,-3,0,1,4,1,3,0,7.47469,0
olaparib_entry_00001_conf_19,-63.3996,-55.3996,-1.98124,-19.9696,-0.145926,-8.37083,-17.4498,-1.9212,-57.0805,-3.39438,-48.4823,0,0.124117,-0.1,3,29,0,0,-2.73419,0,1,4,0,3,0.00507037,7.16572,0
olaparib_entry_00001_conf_20,-62.9453,-54.9453,-1.96704,-19.8265,-0.14488,-8.31085,-17.3067,-1.96704,-59.1693,0,-58.9367,0,0.24997,-0.0168629,5,27,0,0,0,0,1,4,1,4,0,7.29148,0
olaparib_entry_00001_conf_21,-62.6153,-54.6153,-1.95673,-19.7226,-0.144121,-8.26728,-17.2027,-1.89743,-65.721,-1.80312,-56.8844,0,1.38985,0,6,26,0,0,-0.337735,0,1,4,0,4,2.48864,8.6629,0
olaparib_entry_00001_conf_22,-62.5648,-54.5648,-1.95515,-19.7067,-0.144005,-8.26061,-17.1868,-2.01822,-60.1054,-1,-54.2913,0,0.708652,-0.0205254,4,28,0,0,0,0,1,4,1,4,0,7.75694,0
olaparib_entry_00001_conf_23,-62.3152,-54.3152,-1.94735,-19.6281,-0.14343,-8.22766,-17.1082,-1.88834,-56.6087,-3,-61.3513,0,0.352861,-0.050976,8,24,0,0,-2.74358,0,1,4,0,4,0,7.50142,0
olaparib_entry_00001_conf_24,-62.202,-54.202,-1.94381,-19.5924,-0.14317,-8.21271,-17.0726,-2.1449,-56.7019,-1,-49.4166,0,0.339923,-0.0692515,1,27,4,0,-2.87449,0,1,4,0,4,2.26758,7.017,0
olaparib_entry_00001_conf_25,-61.9272,-53.9272,-1.93523,-19.5058,-0.142537,-8.17643,-16.986,-2.06424,-54.95,-1.90193,-57.2081,0,1.54846,-0.1,6,23,3,0,-3.6329,0,1,4,0,3,0.0435411,7.58388,0
olaparib_entry_00001_conf_26,-60.7634,-52.7634,-1.89886,-19.1393,-0.139858,-8.02277,-16.6194,-1.89886,-62.7666,-0.130462,-54.6299,0,1.24613,0,2,30,0,0,0,0,1,4,1,4,12.8296,3.4421,0
olaparib_entry_00001_conf_27,-60.614,-52.614,-1.89419,-19.0922,-0.139514,-8.00304,-16.5724,-1.89419,-56.2215,0,-53.9364,0,1.41623,0,4,28,0,0,0,0,1,4,1,4,0,7.20331,0
olaparib_entry_00001_conf_28,-59.9727,-51.9727,-1.87415,-18.8902,-0.138038,-7.91837,-16.3704,-1.99909,-52.6443,-1.67963,-45.8403,0,0.626757,0,1,29,2,0,-3,0,1,4,1,3,0.000431912,7.14639,0
olaparib_entry_00001_conf_29,-59.4936,-51.4936,-1.85917,-18.7393,-0.136936,-7.8551,-16.2195,-1.85917,-53.9771,-1.99621,-59.6328,0,4.51281,0,6,26,0,0,-3,0,1,4,1,3,2.24232,7.05693,0
olaparib_entry_00001_conf_30,-59.4486,-51.4486,-1.85777,-18.7251,-0.136832,-7.84917,-16.2053,-1.98162,-55.7638,0,-57.3083,0,0.155713,0,2,28,2,0,0,0,1,4,1,4,0,7.89614,0
olaparib_entry_00001_conf_31,-59.0455,-51.0455,-1.84517,-18.5982,-0.135904,-7.79594,-16.0783,-1.96818,-59.5851,-0.628708,-54.2997,0,0.20172,0,3,28,1,0,0,0,1,4,1,4,3.08328,7.57758,0
