LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
olaparib_entry_00001_conf_01,-85.9996,-77.9996,-2.68749,-27.0882,-0.197944,-11.3548,-24.5683,-2.86665,8404287,47.258
olaparib_entry_00001_conf_02,-84.4254,-76.4254,-2.63829,-26.5923,-0.194321,-11.1469,-24.0725,-2.63829,8404287,47.258
olaparib_entry_00001_conf_03,-81.1487,-73.1487,-2.5359,-25.5602,-0.186779,-10.7143,-23.0404,-2.5359,8404287,47.258
olaparib_entry_00001_conf_04,-80.3535,-72.3535,-2.51105,-25.3098,-0.184949,-10.6093,-22.7899,-2.59205,8404287,47.258
olaparib_entry_00001_conf_05,-77.9479,-69.9479,-2.43587,-24.552,-0.179412,-10.2917,-22.0322,-2.43587,8404287,47.258
olaparib_entry_00001_conf_06,-75.0868,-67.0868,-2.34646,-23.6508,-0.172826,-9.91392,-21.131,-2.34646,8404287,47.258
olaparib_entry_00001_conf_07,-74.3214,-66.3214,-2.32254,-23.4098,-0.171065,-9.81286,-20.8899,-2.25216,8404287,47.258
olaparib_entry_00001_conf_08,-74.0616,-66.0616,-2.31442,-23.3279,-0.170467,-9.77856,-20.8081,-2.31442,8404287,47.258
olaparib_entry_00001_conf_09,-72.2541,-64.2541,-2.25794,-22.7586,-0.166306,-9.53992,-20.2388,-2.18952,8404287,47.258
olaparib_entry_00001_conf_10,-69.5437,-61.5437,-2.17324,-21.9049,-0.160068,-9.18206,-19.3851,-2.17324,8404287,47.258
olaparib_entry_00001_conf_11,-69.4739,-61.4739,-2.17106,-21.8829,-0.159907,-9.17284,-19.3631,-2.10527,8404287,47.258
olaparib_entry_00001_conf_12,-68.6522,-60.6522,-2.14538,-21.6241,-0.158016,-9.06435,-19.1042,-2.14538,8404287,47.258
olaparib_entry_00001_conf_13,-67.5561,-59.5561,-2.11113,-21.2788,-0.155493,-8.91962,-18.759,-2.11113,8404287,47.258
