TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
olaparib_entry_00001_conf_01,-67.4046,-59.4046,-2.10639,-21.2311,-0.155144,-8.89962,-18.7113,-2.10639,-61.2625,-1,-52.9481,0,0.301232,-0.0645104,1,31,0,0,-3,0,1,4,1,3,0.0026332,7.58667,0
olaparib_entry_00001_conf_02,-65.1222,-57.1222,-2.03507,-20.5122,-0.149891,-8.59827,-17.9924,-2.03507,-62.175,0,-59.2307,0,0.00193074,0,4,28,0,0,0,0,1,4,1,4,0.0145435,7.44264,0
olaparib_entry_00001_conf_03,-63.6132,-55.6132,-1.98791,-20.0369,-0.146418,-8.39904,-17.5171,-1.98791,-56.7679,-1.97618,-46.8217,0,0.313504,-0.0550256,2,30,0,0,-3,0,1,4,1,3,0.543123,6.77991,0
olaparib_entry_00001_conf_04,-62.7609,-54.7609,-1.96128,-19.7684,-0.144456,-8.2865,-17.2486,-2.02454,-55.395,-1,-50.7113,0,0.000665665,0,0,31,1,0,-3,0,1,4,1,3,0.0290977,6.97141,0
olaparib_entry_00001_conf_05,-57.7735,-49.7735,-1.80542,-18.1975,-0.132977,-7.628,-15.6777,-1.80542,-51.1255,-1,-46.5087,0,0.167857,0,1,31,0,0,-2.98856,0,1,4,1,3,0,7.55116,0
olaparib_entry_00001_conf_06,-57.1,-49.1,-1.78437,-17.9854,-0.131426,-7.53907,-15.4655,-1.84193,-54.9077,0,-51.8287,0,0.0879135,0,1,30,1,0,0,0,1,4,1,4,0,8.32149,0
olaparib_entry_00001_conf_07,-56.8355,-48.8355,-1.77611,-17.902,-0.130817,-7.50415,-15.3822,-1.95984,-46.8807,-2.82737,-37.7974,0,0.168966,0,1,28,3,0,-5.88231,0,1,4,1,2,0,7.04168,0
olaparib_entry_00001_conf_08,-56.6942,-48.6942,-1.77169,-17.8576,-0.130492,-7.4855,-15.3377,-1.77169,-52.0705,-1.33676,-44.7945,0,0.00451636,-0.00782981,0,32,0,0,-1.42854,0,1,4,1,3,0,7.57704,0
olaparib_entry_00001_conf_09,-56.5213,-48.5213,-1.76629,-17.8031,-0.130094,-7.46267,-15.2833,-1.76629,-48.0504,-1.91362,-39.9626,0,0.262012,0,1,31,0,0,-2.65409,0,1,4,1,3,0.00259611,6.89986,0
olaparib_entry_00001_conf_10,-55.8263,-47.8263,-1.74457,-17.5842,-0.128495,-7.3709,-15.0643,-1.74457,-49.5509,-1,-44.3328,0,0.0952159,0,2,30,0,0,-3,0,1,4,1,3,0.00525861,7.52715,0
olaparib_entry_00001_conf_11,-54.8379,-46.8379,-1.71368,-17.2728,-0.12622,-7.2404,-14.753,-1.71368,-52.3581,0,-48.6944,0,1.52657,0,4,28,0,0,0,0,1,4,1,4,0,7.37429,0
olaparib_entry_00001_conf_12,-54.4585,-46.4585,-1.70183,-17.1534,-0.125347,-7.19032,-14.6335,-1.81528,-46.8514,-1,-41.4909,0,0.0604353,0,0,30,2,0,-3,0,1,4,1,3,0,7.0208,0
olaparib_entry_00001_conf_13,-54.3539,-46.3539,-1.69856,-17.1204,-0.125106,-7.1765,-14.6006,-1.69856,-51.9221,0,-47.6827,0,0.137164,-0.0323337,1,31,0,0,0,0,1,4,1,4,0,7.89855,0
olaparib_entry_00001_conf_14,-53.2378,-45.2378,-1.66368,-16.7689,-0.122537,-7.02914,-14.249,-1.83579,-43.4943,-1.95188,-36.0063,0,0.158109,0,1,28,3,0,-5.55264,0,1,4,1,3,0.271596,7.06144,0
olaparib_entry_00001_conf_15,-52.4482,-44.4482,-1.63901,-16.5201,-0.120719,-6.92489,-14.0003,-1.63901,-47.687,-2.55452,-38.364,0,1.0123,0,1,31,0,0,0,0,1,4,1,4,0,6.99094,0
olaparib_entry_00001_conf_16,-52.3869,-44.3869,-1.63709,-16.5008,-0.120578,-6.91679,-13.981,-1.63709,-43.631,-2,-37.5705,0,0.202974,-0.0697233,1,31,0,0,-5.4977,0,1,4,1,3,0,8.05166,0
olaparib_entry_00001_conf_17,-52.1891,-44.1891,-1.63091,-16.4385,-0.120123,-6.89067,-13.9187,-1.79962,-42.4625,-2,-36.1963,0,0.286568,0,2,28,2,0,-5.61258,0,1,4,1,3,0.744459,6.94321,0
olaparib_entry_00001_conf_18,-51.4687,-43.4687,-1.6084,-16.2116,-0.118465,-6.79555,-13.6918,-1.66028,-47.8762,-1.9982,-40.6699,0,0.291059,-0.0643571,2,29,1,0,-2.72578,0,1,4,1,3,7.00888,5.43768,0
olaparib_entry_00001_conf_19,-51.2614,-43.2614,-1.60192,-16.1463,-0.117988,-6.76819,-13.6265,-1.60192,-49.0187,0,-45.8471,0,0.00246072,0,3,29,0,0,0,0,1,4,1,4,0.862662,7.3032,0
olaparib_entry_00001_conf_20,-51.235,-43.235,-1.60109,-16.138,-0.117927,-6.7647,-13.6182,-1.60109,-50.9887,0,-46.9,0,0.0530131,-0.00397682,3,29,0,0,0,0,1,4,1,4,7.87163,5.07307,0
olaparib_entry_00001_conf_21,-51.0951,-43.0951,-1.59672,-16.0939,-0.117605,-6.74623,-13.5741,-1.59672,-48.8125,0,-50.5185,0,2.40935,0,6,26,0,0,0,0,1,4,1,4,0.616537,7.69793,0
olaparib_entry_00001_conf_22,-50.5717,-42.5717,-1.58037,-15.9291,-0.1164,-6.67713,-13.4092,-1.63134,-56.9512,0,-52.9118,0,0.107506,0,0,31,1,0,0,0,1,4,1,4,21.0417,2.00868,0
olaparib_entry_00001_conf_23,-50.5069,-42.5069,-1.57834,-15.9087,-0.116251,-6.66857,-13.3888,-1.57834,-46.3084,-1,-40.36,0,0.0356512,-0.0640765,1,31,0,0,-0.328812,0,1,4,1,3,0,7.55696,0
olaparib_entry_00001_conf_24,-50.3512,-42.3512,-1.57347,-15.8596,-0.115893,-6.64801,-13.3398,-2.18918,-46.2016,0,-42.2261,0,0.00160024,0,1,22,9,0,0,0,1,4,1,4,0.113016,7.26671,0
olaparib_entry_00001_conf_25,-50.3418,-42.3418,-1.57318,-15.8567,-0.115871,-6.64677,-13.3368,-1.57318,-45.6667,0,-42.8039,0,0.258129,0,1,31,0,0,0,0,1,4,1,4,0.0822385,7.1061,0
olaparib_entry_00001_conf_26,-50.1315,-42.1315,-1.56661,-15.7904,-0.115387,-6.61901,-13.2706,-1.61715,-47.7773,0,-45.8785,0,0.0631981,0,0,31,1,0,0,0,1,4,1,4,2.59698,6.97391,0
olaparib_entry_00001_conf_27,-50.0608,-42.0608,-1.5644,-15.7682,-0.115224,-6.60967,-13.2483,-1.61486,-45.4116,-1,-43.2182,0,0.156696,0,3,28,1,0,-0.839291,0,1,4,1,3,0,7.23929,0
olaparib_entry_00001_conf_28,-50.0084,-42.0084,-1.56276,-15.7516,-0.115104,-6.60275,-13.2318,-1.85216,-42.3811,-2.25359,-36.6721,0,0.192481,0,1,26,5,0,-3,0,1,4,1,3,0,7.35029,0
olaparib_entry_00001_conf_29,-49.7617,-41.7617,-1.55505,-15.674,-0.114536,-6.57018,-13.1541,-1.55505,-46.1155,0,-43.1586,0,0.182853,0,3,29,0,0,0,0,1,4,1,4,0,7.47248,0
olaparib_entry_00001_conf_30,-49.305,-41.305,-1.54078,-15.5301,-0.113485,-6.50988,-13.0102,-1.70017,-40.1447,-1.65422,-32.8643,0,0.121751,0,1,28,3,0,-4.87819,0,1,4,1,3,0,6.98318,0
olaparib_entry_00001_conf_31,-48.3908,-40.3908,-1.51221,-15.2422,-0.111381,-6.38918,-12.7223,-1.51221,-48.0917,-1.75658,-43.9743,0,0.040053,-0.0774771,2,30,0,0,-1.9819,0,1,4,1,3,13.4677,3.43217,0
olaparib_entry_00001_conf_32,-48.3393,-40.3393,-1.5106,-15.2259,-0.111262,-6.38238,-12.7061,-1.5106,-40.3049,-1,-34.3643,0,0.146969,-0.00850592,3,29,0,0,-3,0,1,4,1,3,0.18789,6.89056,0
olaparib_entry_00001_conf_33,-48.1982,-40.1982,-1.5062,-15.1815,-0.110937,-6.36375,-12.6617,-2.29515,-43.1596,0,-37.5537,0,0.200919,-0.1,0,21,11,0,0,0,1,4,1,4,0.00363456,6.86713,0
olaparib_entry_00001_conf_34,-48.1212,-40.1212,-1.50379,-15.1572,-0.11076,-6.35358,-12.6374,-1.71861,-45.4107,0,-43.0938,0,0.0119213,0,1,27,4,0,0,0,1,4,1,4,0,8.23778,0
olaparib_entry_00001_conf_35,-47.6372,-39.6372,-1.48866,-15.0048,-0.109646,-6.28967,-12.4849,-1.70133,-39.4852,-0.724811,-35.9324,0,0,0,1,28,3,0,-3,0,1,4,1,3,0,7.08375,0
olaparib_entry_00001_conf_36,-47.5826,-39.5826,-1.48695,-14.9876,-0.10952,-6.28246,-12.4677,-1.48695,-40.2082,-2,-30.0389,0,0.162122,0,0,32,0,0,-3.01312,0,1,4,1,3,0,7.1566,0
olaparib_entry_00001_conf_37,-47.481,-39.481,-1.48378,-14.9556,-0.109287,-6.26906,-12.4358,-1.53165,-41.9146,-2,-35.6661,0,0.00200886,0,2,29,1,0,-3,0,1,4,1,3,2.15881,6.74773,0
olaparib_entry_00001_conf_38,-47.3552,-39.3552,-1.47985,-14.9159,-0.108997,-6.25244,-12.3961,-1.435,-37.0555,-3.70802,-35.1928,0,0.804845,0,4,28,0,0,-5.93855,0,1,4,0,3,1.06663,6.7254,0
olaparib_entry_00001_conf_39,-47.0914,-39.0914,-1.47161,-14.8329,-0.10839,-6.21762,-12.313,-1.47161,-43.0808,-0.602957,-37.5513,0,0.181568,0,3,29,0,0,0,0,1,4,1,4,0,7.54684,0
olaparib_entry_00001_conf_40,-47.0384,-39.0384,-1.46995,-14.8162,-0.108268,-6.21062,-12.2963,-1.67994,-38.9166,-2,-39.9549,0,0.348678,-0.00480948,2,26,4,0,-6,0,1,4,1,2,0,7.91234,0
olaparib_entry_00001_conf_41,-46.9112,-38.9112,-1.46598,-14.7761,-0.107975,-6.19382,-12.2563,-2.13233,-41.9696,0,-40.1246,0,0,0,0,22,10,0,0,0,1,4,1,4,0,6.92726,0
olaparib_entry_00001_conf_42,-46.8951,-38.8951,-1.46547,-14.771,-0.107938,-6.1917,-12.2512,-1.51275,-43.151,-0.243056,-41.4338,0,1.10237,0,4,27,1,0,0,0,1,4,1,4,0.164451,7.30655,0
olaparib_entry_00001_conf_43,-46.5604,-38.5604,-1.45501,-14.6656,-0.107167,-6.1475,-12.1458,-1.45501,-42.1997,-1.37872,-38.1606,0,0.161091,-0.00211315,3,29,0,0,-0.470875,0,1,4,1,3,0,7.26507,0
olaparib_entry_00001_conf_44,-46.5392,-38.5392,-1.45435,-14.6589,-0.107119,-6.14471,-12.1391,-1.45435,-37.596,-2.45222,-32.2611,0,0.260014,-0.090469,2,30,0,0,-4.91309,0,1,4,1,2,0,7.02867,0
olaparib_entry_00001_conf_45,-46.523,-38.523,-1.45384,-14.6538,-0.107081,-6.14257,-12.134,-1.72307,-41.9103,0,-37.4854,0,0.0978615,0,0,27,5,0,0,0,1,4,1,4,0.128211,6.91466,0
olaparib_entry_00001_conf_46,-46.273,-38.273,-1.44603,-14.5751,-0.106506,-6.10956,-12.0552,-1.44603,-41.3851,-1.60958,-37.0886,0,3.85767,-0.1,1,31,0,0,0,0,1,4,1,4,0,7.09993,0
olaparib_entry_00001_conf_47,-46.17,-38.17,-1.44281,-14.5427,-0.106269,-6.09596,-12.0228,-1.44281,-41.6717,-1,-40.0335,0,0.198906,0,5,27,0,0,-3,0,1,4,1,3,4.75606,6.17248,0
olaparib_entry_00001_conf_48,-46.0978,-38.0978,-1.44056,-14.5199,-0.106103,-6.08642,-12,-1.53659,-41.8437,-1,-38.2917,0,0.289155,0,1,29,2,0,-2.15924,0,1,4,1,3,0,8.0099,0
olaparib_entry_00001_conf_49,-46.0342,-38.0342,-1.43857,-14.4999,-0.105956,-6.07803,-11.98,-1.70497,-41.1169,0,-40.3663,0,0.261883,0,1,27,4,0,0,0,1,4,1,4,0.104931,6.95036,0
olaparib_entry_00001_conf_50,-45.8572,-37.8572,-1.43304,-14.4441,-0.105549,-6.05466,-11.9243,-1.47927,-40.7312,0,-38.1902,0,0.0918621,0,2,29,1,0,0,0,1,4,1,4,0,7.04678,0
olaparib_entry_00001_conf_51,-45.7704,-37.7704,-1.43033,-14.4168,-0.105349,-6.0432,-11.8969,-1.43033,-40.647,-0.278382,-36.1399,0,0.1108,0,1,31,0,0,0,0,1,4,1,4,0,7.03387,0
olaparib_entry_00001_conf_52,-45.7479,-37.7479,-1.42962,-14.4097,-0.105297,-6.04022,-11.8898,-1.57751,-36.2606,-2,-34.1874,0,0.249565,0,2,27,3,0,-4.24447,0,1,4,1,3,0,6.95359,0
olaparib_entry_00001_conf_53,-45.3797,-37.3797,-1.41812,-14.2937,-0.10445,-5.99162,-11.7739,-1.74537,-41.0318,0,-38.4474,0,0.0401023,-0.00707617,2,24,6,0,0,0,1,4,1,4,0,7.60547,0
olaparib_entry_00001_conf_54,-45.3676,-37.3676,-1.41774,-14.2899,-0.104422,-5.99001,-11.7701,-1.37478,-37.3824,-3.53952,-32.8256,0,1.21925,0,3,29,0,0,-3.65839,0,1,4,0,3,0.0011603,6.97102,0
olaparib_entry_00001_conf_55,-45.2537,-37.2537,-1.41418,-14.254,-0.10416,-5.97498,-11.7342,-1.56047,-35.1379,-2,-28.2453,0,0.128078,0,2,27,3,0,-5.72144,0,1,4,1,3,0.235981,6.97335,0
olaparib_entry_00001_conf_56,-45.0917,-37.0917,-1.40911,-14.203,-0.103787,-5.95358,-11.6831,-1.40911,-41.8472,0,-42.4899,0,0.112678,0,1,31,0,0,0,0,1,4,1,4,0,7.65389,0
olaparib_entry_00001_conf_57,-45.0535,-37.0535,-1.40792,-14.191,-0.103699,-5.94854,-11.6711,-1.45334,-40.6735,0,-35.8187,0,0.0850821,-0.0110535,3,28,1,0,0,0,1,4,1,4,0,7.25666,0
olaparib_entry_00001_conf_58,-44.9794,-36.9794,-1.4056,-14.1676,-0.103528,-5.93875,-11.6478,-1.4056,-40.0772,0,-37.8718,0,0.0291595,0,2,30,0,0,0,0,1,4,1,4,0.228564,7.07528,0
olaparib_entry_00001_conf_59,-44.9111,-36.9111,-1.40347,-14.1461,-0.103371,-5.92974,-11.6263,-1.87129,-36.7746,-2.58039,-31.2526,0,0.212493,0,2,22,8,0,-3,0,1,4,1,3,0.167841,6.90392,0
