LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
olaparib_entry_00001_conf_01,-67.4046,-59.4046,-2.10639,-21.2311,-0.155144,-8.89962,-18.7113,-2.10639,13483191,110.225
olaparib_entry_00001_conf_02,-65.1222,-57.1222,-2.03507,-20.5122,-0.149891,-8.59827,-17.9924,-2.03507,13483191,110.225
olaparib_entry_00001_conf_03,-63.6132,-55.6132,-1.98791,-20.0369,-0.146418,-8.39904,-17.5171,-1.98791,13483191,110.225
olaparib_entry_00001_conf_04,-62.7609,-54.7609,-1.96128,-19.7684,-0.144456,-8.2865,-17.2486,-2.02454,13483191,110.225
olaparib_entry_00001_conf_05,-57.7735,-49.7735,-1.80542,-18.1975,-0.132977,-7.628,-15.6777,-1.80542,13483191,110.225
olaparib_entry_00001_conf_06,-57.1,-49.1,-1.78437,-17.9854,-0.131426,-7.53907,-15.4655,-1.84193,13483191,110.225
olaparib_entry_00001_conf_07,-56.8355,-48.8355,-1.77611,-17.902,-0.130817,-7.50415,-15.3822,-1.95984,13483191,110.225
olaparib_entry_00001_conf_08,-56.6942,-48.6942,-1.77169,-17.8576,-0.130492,-7.4855,-15.3377,-1.77169,13483191,110.225
olaparib_entry_00001_conf_09,-56.5213,-48.5213,-1.76629,-17.8031,-0.130094,-7.46267,-15.2833,-1.76629,13483191,110.225
olaparib_entry_00001_conf_10,-55.8263,-47.8263,-1.74457,-17.5842,-0.128495,-7.3709,-15.0643,-1.74457,13483191,110.225
olaparib_entry_00001_conf_11,-54.8379,-46.8379,-1.71368,-17.2728,-0.12622,-7.2404,-14.753,-1.71368,13483191,110.225
olaparib_entry_00001_conf_12,-54.4585,-46.4585,-1.70183,-17.1534,-0.125347,-7.19032,-14.6335,-1.81528,13483191,110.225
olaparib_entry_00001_conf_13,-54.3539,-46.3539,-1.69856,-17.1204,-0.125106,-7.1765,-14.6006,-1.69856,13483191,110.225
olaparib_entry_00001_conf_14,-53.2378,-45.2378,-1.66368,-16.7689,-0.122537,-7.02914,-14.249,-1.83579,13483191,110.225
olaparib_entry_00001_conf_15,-52.4482,-44.4482,-1.63901,-16.5201,-0.120719,-6.92489,-14.0003,-1.63901,13483191,110.225
olaparib_entry_00001_conf_16,-52.3869,-44.3869,-1.63709,-16.5008,-0.120578,-6.91679,-13.981,-1.63709,13483191,110.225
olaparib_entry_00001_conf_17,-52.1891,-44.1891,-1.63091,-16.4385,-0.120123,-6.89067,-13.9187,-1.79962,13483191,110.225
olaparib_entry_00001_conf_18,-51.4687,-43.4687,-1.6084,-16.2116,-0.118465,-6.79555,-13.6918,-1.66028,13483191,110.225
olaparib_entry_00001_conf_19,-51.2614,-43.2614,-1.60192,-16.1463,-0.117988,-6.76819,-13.6265,-1.60192,13483191,110.225
olaparib_entry_00001_conf_20,-51.235,-43.235,-1.60109,-16.138,-0.117927,-6.7647,-13.6182,-1.60109,13483191,110.225
olaparib_entry_00001_conf_21,-51.0951,-43.0951,-1.59672,-16.0939,-0.117605,-6.74623,-13.5741,-1.59672,13483191,110.225
olaparib_entry_00001_conf_22,-50.5717,-42.5717,-1.58037,-15.9291,-0.1164,-6.67713,-13.4092,-1.63134,13483191,110.225
olaparib_entry_00001_conf_23,-50.5069,-42.5069,-1.57834,-15.9087,-0.116251,-6.66857,-13.3888,-1.57834,13483191,110.225
